   Komb             Odds    Kvot Spelat belopp Beräknat spelbelopp
 0- 1	 0- 3	 1- 1	     3157.10	 2.367	2.16	 2
 0- 1	 0- 3	 1- 2	     6749.52	 1.938	0.90	 1
 0- 1	 0- 3	 2- 0	     5834.65	 2.988	1.25	 1
 0- 1	 0- 3	 2- 1	     5188.30	 1.440	0.80	 1
 0- 1	 0- 3	 2- 2	     8100.79	 2.152	0.80	 1
 0- 1	 0- 3	 4- 2	    43870.67	Ej Spelad	1.00	 1
 0- 1	 0- 4	 0- 1	    14929.56	 3.504	0.50	 1
 0- 1	 0- 4	 1- 0	    11707.97	Ej Spelad	1.00	 1
 0- 1	 0- 4	 1- 1	     9012.10	 5.804	0.81	 1
 0- 1	 0- 4	 1- 2	    19266.81	Ej Spelad	1.00	 1
 0- 1	 0- 4	 1- 3	    41662.41	Ej Spelad	1.00	 1
 0- 1	 0- 4	 2- 0	    16655.28	Ej Spelad	1.00	 1
 0- 1	 0- 4	 2- 1	    14810.23	Ej Spelad	1.00	 1
 0- 1	 0- 4	 2- 2	    23124.07	Ej Spelad	1.00	 1
 0- 1	 0- 4	 3- 1	    26523.42	Ej Spelad	1.00	 1
 0- 1	 0- 5	 0- 0	    44680.08	Ej Spelad	1.00	 1
 0- 1	 0- 5	 0- 1	    48301.53	Ej Spelad	1.00	 1
 0- 1	 0- 5	 1- 0	    37878.73	Ej Spelad	1.00	 1
 0- 1	 0- 5	 1- 1	    29156.79	Ej Spelad	1.00	 1
 0- 1	 0- 5	 2- 1	    47915.46	Ej Spelad	1.00	 1
 0- 1	 1- 0	 0- 3	     7499.17	 2.325	0.90	 1
 0- 1	 1- 0	 0- 4	    24747.24	Ej Spelad	1.00	 1
 0- 1	 1- 0	 1- 3	     4230.30	 2.473	1.64	 2
 0- 1	 1- 0	 1- 4	    18331.29	Ej Spelad	1.00	 1
 0- 1	 1- 0	 2- 3	     6469.87	 2.021	0.97	 1
 0- 1	 1- 0	 2- 4	    20201.83	Ej Spelad	1.00	 1
 0- 1	 1- 0	 3- 4	    38072.68	Ej Spelad	1.00	 1
 0- 1	 1- 1	 0- 3	     5250.82	 1.660	0.99	 1
 0- 1	 1- 1	 1- 5	    43319.26	Ej Spelad	1.00	 1
 0- 1	 1- 1	 3- 4	    26658.01	Ej Spelad	1.00	 1
 0- 1	 1- 1	 4- 0	     6116.19	 1.711	0.88	 1
 0- 1	 1- 1	 4- 4	    38559.55	Ej Spelad	1.00	 1
 0- 1	 1- 2	 0- 0	     1718.46	 1.218	1.48	 1
 0- 1	 1- 2	 0- 3	     9190.24	 1.897	0.65	 1
 0- 1	 1- 2	 1- 3	     5184.24	 1.261	0.56	 1
 0- 1	 1- 2	 3- 4	    46658.14	Ej Spelad	1.00	 1
 0- 1	 1- 2	 5- 0	    26762.15	Ej Spelad	1.00	 1
 0- 1	 1- 3	 0- 2	     7446.43	 2.342	0.91	 1
 0- 1	 1- 3	 1- 0	     3371.41	 1.724	1.62	 2
 0- 1	 1- 3	 1- 1	     2595.11	 1.551	1.83	 2
 0- 1	 1- 3	 2- 0	     4796.02	 1.558	1.00	 1
 0- 1	 1- 3	 4- 0	    24772.50	Ej Spelad	1.00	 1
 0- 1	 1- 4	 0- 0	    12873.92	 4.063	0.58	 1
 0- 1	 1- 4	 0- 1	    13917.39	 3.759	0.54	 1
 0- 1	 1- 4	 0- 2	    24106.25	Ej Spelad	1.00	 1
 0- 1	 1- 4	 1- 0	    10914.21	 4.793	0.68	 1
 0- 1	 1- 4	 1- 1	     8401.11	 3.113	0.88	 1
 0- 1	 1- 4	 2- 0	    15526.11	Ej Spelad	1.00	 1
 0- 1	 1- 4	 2- 1	    13806.15	Ej Spelad	1.00	 1
 0- 1	 1- 4	 3- 0	    33294.25	Ej Spelad	1.00	 1
 0- 1	 1- 4	 3- 2	    49055.89	Ej Spelad	1.00	 1
 0- 1	 1- 5	 2- 0	    48212.65	Ej Spelad	1.00	 1
 0- 1	 1- 5	 2- 1	    42871.73	Ej Spelad	1.00	 1
 0- 1	 2- 0	 0- 4	    42273.16	Ej Spelad	1.00	 1
 0- 1	 2- 0	 1- 4	    31313.45	Ej Spelad	1.00	 1
 0- 1	 2- 1	 3- 4	    44276.49	Ej Spelad	1.00	 1
 0- 1	 2- 2	 0- 0	     2141.35	 1.221	1.21	 1
 0- 1	 2- 3	 0- 0	     5311.62	 1.407	0.75	 1
 0- 1	 2- 3	 0- 2	     9945.93	 1.753	0.56	 1
 0- 1	 2- 3	 1- 0	     4503.07	 1.452	0.94	 1
 0- 1	 2- 4	 0- 2	    34689.48	Ej Spelad	1.00	 1
 0- 1	 2- 4	 2- 0	    22342.45	Ej Spelad	1.00	 1
 0- 1	 2- 4	 2- 1	    19867.39	Ej Spelad	1.00	 1
 0- 1	 2- 4	 3- 1	    35580.20	Ej Spelad	1.00	 1
 0- 1	 3- 0	 2- 3	    23246.90	Ej Spelad	1.00	 1
 0- 1	 3- 0	 3- 3	    44420.57	Ej Spelad	1.00	 1
 0- 1	 3- 0	 4- 2	    45688.57	Ej Spelad	1.00	 1
 0- 1	 3- 1	 3- 3	    40006.11	Ej Spelad	1.00	 1
 0- 1	 3- 2	 0- 3	    27907.61	Ej Spelad	1.00	 1
 0- 1	 3- 4	 0- 0	    42197.86	Ej Spelad	1.00	 1
 0- 1	 3- 4	 0- 1	    45618.11	Ej Spelad	1.00	 1
 0- 1	 3- 4	 1- 0	    35774.36	Ej Spelad	1.00	 1
 0- 1	 3- 4	 2- 1	    45253.49	Ej Spelad	1.00	 1
 0- 1	 4- 0	 0- 0	    14909.68	Ej Spelad	1.00	 1
 0- 1	 4- 1	 0- 2	    23186.29	Ej Spelad	1.00	 1
 0- 1	 4- 2	 0- 2	    36972.73	Ej Spelad	1.00	 1
 0- 1	 5- 2	 1- 1	    43340.86	Ej Spelad	1.00	 1
 0- 2	 0- 0	 0- 3	    12590.80	 4.155	0.60	 1
 0- 2	 0- 0	 0- 4	    41549.64	Ej Spelad	1.00	 1
 0- 2	 0- 0	 1- 3	     7102.50	 7.365	0.98	 1
 0- 2	 0- 0	 1- 4	    30777.52	Ej Spelad	1.00	 1
 0- 2	 0- 0	 2- 3	    10862.65	Ej Spelad	1.00	 1
 0- 2	 0- 0	 2- 4	    33918.08	Ej Spelad	1.00	 1
 0- 2	 0- 0	 4- 1	    11877.28	 2.202	0.56	 1
 0- 2	 0- 0	 5- 0	    36664.65	Ej Spelad	1.00	 1
 0- 2	 0- 1	 0- 3	    11549.73	 2.265	0.58	 1
 0- 2	 0- 1	 0- 4	    38114.12	Ej Spelad	1.00	 1
 0- 2	 0- 1	 1- 3	     6515.23	 8.029	1.05	 1
 0- 2	 0- 1	 1- 4	    28232.68	Ej Spelad	1.00	 1
 0- 2	 0- 1	 2- 3	     9964.48	 2.625	0.71	 1
 0- 2	 0- 1	 2- 4	    31113.57	Ej Spelad	1.00	 1
 0- 2	 0- 1	 3- 2	     8229.36	 1.589	0.60	 1
 0- 2	 0- 1	 4- 0	    13453.21	 3.888	0.56	 1
 0- 2	 0- 1	 4- 1	    10895.21	 4.801	0.68	 1
 0- 2	 0- 1	 5- 0	    33633.04	Ej Spelad	1.00	 1
 0- 2	 0- 2	 1- 3	    11566.60	 2.261	0.58	 1
 0- 2	 0- 3	 1- 0	     6542.30	 2.665	1.09	 1
 0- 2	 0- 3	 1- 1	     5035.87	 1.731	1.09	 1
 0- 2	 0- 3	 4- 0	    48071.68	Ej Spelad	1.00	 1
 0- 2	 0- 3	 4- 1	    38931.29	Ej Spelad	1.00	 1
 0- 2	 0- 4	 0- 1	    23814.03	Ej Spelad	1.00	 1
 0- 2	 0- 4	 1- 0	    18675.29	Ej Spelad	1.00	 1
 0- 2	 0- 4	 1- 1	    14375.13	Ej Spelad	1.00	 1
 0- 2	 0- 4	 1- 2	    30732.34	Ej Spelad	1.00	 1
 0- 2	 0- 4	 2- 1	    23623.69	Ej Spelad	1.00	 1
