   Komb             Odds    Kvot Spelat belopp Beräknat spelbelopp
 0- 5	 1- 3	 0- 0	    22877.99	Ej Spelad	0.10	0.10
 0- 5	 2- 0	 0- 0	    13780.12	Ej Spelad	0.10	0.10
 0- 5	 2- 2	 0- 0	    12319.00	Ej Spelad	0.10	0.10
 0- 5	 2- 3	 0- 0	    30557.31	Ej Spelad	0.10	0.10
 0- 5	 3- 0	 0- 0	    28985.76	Ej Spelad	0.10	0.10
 0- 5	 3- 2	 0- 0	    30020.97	Ej Spelad	0.10	0.10
 0- 5	 3- 3	 0- 0	    59699.76	Ej Spelad	0.10	0.10
 0- 6	 0- 0	 0- 0	    33964.86	Ej Spelad	0.10	0.10
 0- 6	 0- 1	 0- 0	    31156.47	Ej Spelad	0.10	0.10
 0- 6	 0- 2	 0- 0	    55312.61	Ej Spelad	0.10	0.10
 0- 6	 1- 0	 0- 0	    32268.22	Ej Spelad	0.10	0.10
 0- 6	 1- 1	 0- 0	    22593.80	Ej Spelad	0.10	0.10
 0- 6	 1- 2	 0- 0	    39544.76	Ej Spelad	0.10	0.10
 0- 6	 2- 0	 0- 0	    55120.47	Ej Spelad	0.10	0.10
 0- 6	 2- 1	 0- 0	    37526.21	Ej Spelad	0.10	0.10
 0- 6	 2- 2	 0- 0	    49276.00	Ej Spelad	0.10	0.10
 1- 0	 0- 0	 0- 0	      118.08	 1.297	3.63	2.20
 1- 0	 0- 1	 0- 0	      108.31	 1.668	6.46	6.50
 1- 0	 0- 2	 0- 0	      192.29	 1.929	4.19	4.20
 1- 0	 0- 3	 0- 0	      387.03	 2.023	2.16	2.20
 1- 0	 0- 4	 0- 0	     1104.80	Ej Spelad	0.10	0.10
 1- 0	 0- 5	 0- 0	     3574.35	Ej Spelad	0.10	0.10
 1- 0	 0- 6	 0- 0	    12152.79	Ej Spelad	0.10	0.10
 1- 0	 1- 1	 0- 0	       78.55	 1.448	7.15	7.10
 1- 0	 1- 2	 0- 0	      137.48	 2.051	6.13	6.10
 1- 0	 1- 3	 0- 0	      318.14	 2.014	2.62	2.60
 1- 0	 1- 4	 0- 0	     1029.90	 6.843	0.92	0.90
 1- 0	 1- 5	 0- 0	     3198.10	Ej Spelad	0.10	0.10
 1- 0	 1- 6	 0- 0	    15190.99	Ej Spelad	0.10	0.10
 1- 0	 2- 1	 0- 0	      130.46	 1.318	3.44	3.40
 1- 0	 2- 2	 0- 0	      171.31	 1.714	4.21	4.20
 1- 0	 2- 3	 0- 0	      424.92	 1.659	1.63	1.60
 1- 0	 2- 4	 0- 0	     1482.05	 4.756	0.67	0.70
 1- 0	 2- 5	 0- 0	     4340.28	Ej Spelad	0.10	0.10
 1- 0	 2- 6	 0- 0	    10127.33	Ej Spelad	0.10	0.10
 1- 0	 3- 1	 0- 0	      363.01	 1.213	0.92	0.90
 1- 0	 3- 2	 0- 0	      417.46	 1.407	1.27	1.30
 1- 0	 3- 3	 0- 0	      830.17	 1.698	0.86	0.50
 1- 0	 3- 4	 0- 0	     3375.78	Ej Spelad	0.10	0.10
 1- 0	 3- 5	 0- 0	    10127.33	Ej Spelad	0.10	0.10
 1- 0	 3- 6	 0- 0	    30381.98	Ej Spelad	0.10	0.10
 1- 0	 4- 0	 0- 0	     1192.76	 1.491	0.50	0.50
 1- 0	 4- 1	 0- 0	      990.59	 1.795	0.76	0.80
 1- 0	 4- 2	 0- 0	     1579.60	 1.501	0.38	0.40
 1- 0	 4- 3	 0- 0	     3437.94	 2.069	0.25	0.20
 1- 0	 4- 4	 0- 0	     6745.14	Ej Spelad	0.10	0.10
 1- 0	 5- 0	 0- 0	     5844.50	 1.217	0.06	0.10
 1- 0	 5- 1	 0- 0	     3246.95	Ej Spelad	0.10	0.10
 1- 0	 5- 2	 0- 0	     5313.18	Ej Spelad	0.10	0.10
 1- 0	 5- 3	 0- 0	    11689.01	Ej Spelad	0.10	0.10
 1- 0	 6- 0	 0- 0	    14611.26	Ej Spelad	0.10	0.10
 1- 0	 6- 1	 0- 0	    19481.68	Ej Spelad	0.10	0.10
 1- 0	 6- 2	 0- 0	     9740.84	Ej Spelad	0.10	0.10
 1- 0	 6- 3	 0- 0	    29222.52	Ej Spelad	0.10	0.10
 1- 0	 6- 4	 0- 0	    29222.52	Ej Spelad	0.10	0.10
 1- 1	 0- 1	 0- 0	       80.81	 1.246	4.62	3.90
 1- 1	 0- 2	 0- 0	      143.46	 1.445	3.90	3.90
 1- 1	 0- 3	 0- 0	      288.75	 2.034	2.90	2.90
 1- 1	 0- 4	 0- 0	      824.24	 8.551	1.09	1.10
 1- 1	 0- 5	 0- 0	     2666.65	Ej Spelad	0.10	0.10
 1- 1	 0- 6	 0- 0	     9066.61	Ej Spelad	0.10	0.10
 1- 1	 1- 1	 0- 0	       58.60	Ej Spelad	0.10	0.10
 1- 1	 1- 3	 0- 0	      237.35	 2.284	3.77	3.30
 1- 1	 1- 4	 0- 0	      768.36	Ej Spelad	0.10	0.10
 1- 1	 1- 5	 0- 0	     2385.95	Ej Spelad	0.10	0.10
 1- 1	 1- 6	 0- 0	    11333.26	Ej Spelad	0.10	0.10
 1- 1	 2- 3	 0- 0	      317.01	 1.390	1.62	1.60
 1- 1	 2- 4	 0- 0	     1105.68	 6.374	0.87	0.80
 1- 1	 2- 5	 0- 0	     3238.07	Ej Spelad	0.10	0.10
 1- 1	 2- 6	 0- 0	     7555.51	Ej Spelad	0.10	0.10
 1- 1	 3- 3	 0- 0	      619.35	 1.422	0.87	0.90
 1- 1	 3- 4	 0- 0	     2518.50	Ej Spelad	0.10	0.10
 1- 1	 3- 5	 0- 0	     7555.51	Ej Spelad	0.10	0.10
 1- 1	 3- 6	 0- 0	    22666.52	Ej Spelad	0.10	0.10
 1- 1	 4- 3	 0- 0	     2564.88	 1.387	0.20	0.20
 1- 1	 4- 4	 0- 0	     5032.22	Ej Spelad	0.10	0.10
 1- 1	 5- 0	 0- 0	     4360.30	Ej Spelad	0.10	0.10
 1- 1	 5- 1	 0- 0	     2422.39	Ej Spelad	0.10	0.10
 1- 1	 5- 2	 0- 0	     3963.91	Ej Spelad	0.10	0.10
 1- 1	 5- 3	 0- 0	     8720.60	Ej Spelad	0.10	0.10
 1- 1	 6- 0	 0- 0	    10900.75	Ej Spelad	0.10	0.10
 1- 1	 6- 1	 0- 0	    14534.33	Ej Spelad	0.10	0.10
 1- 1	 6- 2	 0- 0	     7267.17	Ej Spelad	0.10	0.10
 1- 1	 6- 3	 0- 0	    21801.50	Ej Spelad	0.10	0.10
 1- 1	 6- 4	 0- 0	    21801.50	Ej Spelad	0.10	0.10
 1- 2	 0- 3	 0- 0	      508.36	 1.386	1.01	1.00
 1- 2	 0- 4	 0- 0	     1451.12	Ej Spelad	0.10	0.10
 1- 2	 0- 5	 0- 0	     4694.81	 1.501	0.13	0.10
 1- 2	 0- 6	 0- 0	    15962.36	Ej Spelad	0.10	0.10
 1- 2	 1- 4	 0- 0	     1352.74	 5.210	0.73	0.70
 1- 2	 1- 5	 0- 0	     4200.62	 1.678	0.17	0.20
 1- 2	 1- 6	 0- 0	    19952.95	Ej Spelad	0.10	0.10
 1- 2	 2- 4	 0- 0	     1946.63	 3.621	0.51	0.50
 1- 2	 2- 5	 0- 0	     5700.84	Ej Spelad	0.10	0.10
 1- 2	 2- 6	 0- 0	    13301.97	Ej Spelad	0.10	0.10
 1- 2	 3- 4	 0- 0	     4433.99	Ej Spelad	0.10	0.10
 1- 2	 3- 5	 0- 0	    13301.97	Ej Spelad	0.10	0.10
 1- 2	 3- 6	 0- 0	    39905.90	Ej Spelad	0.10	0.10
 1- 2	 4- 4	 0- 0	     8859.55	Ej Spelad	0.10	0.10
 1- 2	 5- 1	 0- 0	     4264.78	Ej Spelad	0.10	0.10
 1- 2	 5- 2	 0- 0	     6978.72	Ej Spelad	0.10	0.10
 1- 2	 5- 3	 0- 0	    15353.19	Ej Spelad	0.10	0.10
 1- 2	 6- 0	 0- 0	    19191.49	Ej Spelad	0.10	0.10
 1- 2	 6- 1	 0- 0	    25588.65	Ej Spelad	0.10	0.10
 1- 2	 6- 2	 0- 0	    12794.33	Ej Spelad	0.10	0.10
 1- 2	 6- 3	 0- 0	    38382.98	Ej Spelad	0.10	0.10
 1- 2	 6- 4	 0- 0	    38382.98	Ej Spelad	0.10	0.10
 1- 3	 0- 4	 0- 0	     3652.83	 1.929	0.22	0.20
 1- 3	 0- 6	 0- 0	    40181.11	Ej Spelad	0.10	0.10
 1- 3	 1- 3	 0- 0	     1051.86	Ej Spelad	0.10	0.10
