   Komb             Odds    Kvot Spelat belopp Beräknat spelbelopp
 0- 0	 1- 0	 3- 2	 1- 1	    36962.61	Ej Spelad	1.00	 1
 0- 0	 1- 1	 0- 0	 1- 1	     7507.26	 1.443	0.56	 1
 0- 0	 1- 1	 1- 1	 0- 0	     7507.26	 1.443	0.56	 1
 0- 0	 1- 1	 1- 1	 1- 0	     6378.67	 1.698	0.84	 1
 0- 0	 1- 1	 2- 1	 3- 0	    25484.15	 0.425	1.00	 1
 0- 0	 1- 1	 2- 1	 3- 1	    22863.57	 0.474	1.00	 1
 0- 0	 1- 1	 2- 1	 3- 2	    39337.07	 0.275	1.00	 1
 0- 0	 1- 1	 2- 2	 0- 0	    18302.82	Ej Spelad	1.00	 1
 0- 0	 1- 1	 2- 2	 0- 1	    21674.55	Ej Spelad	1.00	 1
 0- 0	 1- 1	 2- 2	 0- 2	    39569.95	Ej Spelad	1.00	 1
 0- 0	 1- 1	 2- 2	 1- 0	    15551.29	Ej Spelad	1.00	 1
 0- 0	 1- 1	 2- 2	 1- 1	    11958.88	Ej Spelad	1.00	 1
 0- 0	 1- 1	 2- 2	 1- 2	    23864.35	Ej Spelad	1.00	 1
 0- 0	 1- 1	 2- 2	 2- 0	    21141.10	Ej Spelad	1.00	 1
 0- 0	 1- 1	 2- 2	 2- 1	    18319.09	Ej Spelad	1.00	 1
 0- 0	 1- 1	 2- 2	 2- 2	    29155.94	Ej Spelad	1.00	 1
 0- 0	 1- 1	 2- 2	 3- 0	    40350.70	Ej Spelad	1.00	 1
 0- 0	 1- 1	 2- 2	 3- 1	    36201.37	Ej Spelad	1.00	 1
 0- 0	 1- 1	 2- 3	 1- 0	    45979.34	Ej Spelad	1.00	 1
 0- 0	 1- 1	 2- 3	 1- 1	    35357.92	Ej Spelad	1.00	 1
 0- 0	 1- 1	 3- 0	 0- 0	    28727.63	Ej Spelad	1.00	 1
 0- 0	 1- 1	 3- 0	 0- 1	    34019.80	Ej Spelad	1.00	 1
 0- 0	 1- 1	 3- 0	 1- 0	    24408.89	Ej Spelad	1.00	 1
 0- 0	 1- 1	 3- 0	 1- 1	    18770.34	Ej Spelad	1.00	 1
 0- 0	 1- 1	 3- 0	 1- 2	    37456.86	Ej Spelad	1.00	 1
 0- 0	 1- 1	 3- 0	 2- 0	    33182.50	Ej Spelad	1.00	 1
 0- 0	 1- 1	 3- 0	 2- 1	    28753.16	Ej Spelad	1.00	 1
 0- 0	 1- 1	 3- 0	 2- 2	    45762.39	Ej Spelad	1.00	 1
 0- 0	 1- 1	 3- 1	 0- 0	    22722.16	Ej Spelad	1.00	 1
 0- 0	 1- 1	 3- 1	 0- 1	    26908.02	Ej Spelad	1.00	 1
 0- 0	 1- 1	 3- 1	 0- 2	    49124.39	Ej Spelad	1.00	 1
 0- 0	 1- 1	 3- 1	 1- 0	    19306.26	Ej Spelad	1.00	 1
 0- 0	 1- 1	 3- 1	 1- 1	    14846.43	Ej Spelad	1.00	 1
 0- 0	 1- 1	 3- 1	 1- 2	    29626.56	Ej Spelad	1.00	 1
 0- 0	 1- 1	 3- 1	 2- 0	    26245.75	Ej Spelad	1.00	 1
 0- 0	 1- 1	 3- 1	 2- 1	    22742.36	Ej Spelad	1.00	 1
 0- 0	 1- 1	 3- 1	 2- 2	    36195.84	Ej Spelad	1.00	 1
 0- 0	 1- 1	 3- 1	 3- 1	    44942.43	Ej Spelad	1.00	 1
 0- 0	 1- 1	 3- 2	 0- 0	    38633.71	Ej Spelad	1.00	 1
 0- 0	 1- 1	 3- 2	 0- 1	    45750.77	Ej Spelad	1.00	 1
 0- 0	 1- 1	 3- 2	 1- 0	    32825.76	Ej Spelad	1.00	 1
 0- 0	 1- 1	 3- 2	 1- 1	    25242.87	Ej Spelad	1.00	 1
 0- 0	 1- 1	 3- 2	 2- 0	    44624.74	Ej Spelad	1.00	 1
 0- 0	 1- 1	 3- 2	 2- 1	    38668.05	Ej Spelad	1.00	 1
 0- 0	 1- 1	 4- 0	 1- 1	    47821.92	Ej Spelad	1.00	 1
 0- 0	 1- 1	 4- 1	 1- 1	    40669.07	Ej Spelad	1.00	 1
 0- 0	 1- 2	 0- 0	 0- 0	    19541.11	Ej Spelad	1.00	 1
 0- 0	 1- 2	 0- 0	 0- 1	    23140.95	Ej Spelad	1.00	 1
 0- 0	 1- 2	 0- 0	 0- 2	    42247.07	Ej Spelad	1.00	 1
 0- 0	 1- 2	 0- 0	 1- 0	    16603.42	Ej Spelad	1.00	 1
 0- 0	 1- 2	 0- 0	 1- 1	    12767.96	Ej Spelad	1.00	 1
 0- 0	 1- 2	 0- 0	 1- 2	    25478.90	Ej Spelad	1.00	 1
 0- 0	 1- 2	 0- 0	 2- 0	    22571.40	Ej Spelad	1.00	 1
 0- 0	 1- 2	 0- 0	 2- 1	    19558.48	Ej Spelad	1.00	 1
 0- 0	 1- 2	 0- 0	 2- 2	    31128.50	Ej Spelad	1.00	 1
 0- 0	 1- 2	 0- 0	 3- 0	    43080.63	Ej Spelad	1.00	 1
 0- 0	 1- 2	 0- 0	 3- 1	    38650.58	Ej Spelad	1.00	 1
 0- 0	 1- 2	 0- 1	 0- 0	    22775.98	Ej Spelad	1.00	 1
 0- 0	 1- 2	 0- 1	 0- 1	    26971.75	Ej Spelad	1.00	 1
 0- 0	 1- 2	 0- 1	 0- 2	    49240.74	Ej Spelad	1.00	 1
 0- 0	 1- 2	 0- 1	 1- 0	    19351.98	Ej Spelad	1.00	 1
 0- 0	 1- 2	 0- 1	 1- 1	    14881.60	Ej Spelad	1.00	 1
 0- 0	 1- 2	 0- 1	 1- 2	    29696.73	Ej Spelad	1.00	 1
 0- 0	 1- 2	 0- 1	 2- 0	    26307.92	Ej Spelad	1.00	 1
 0- 0	 1- 2	 0- 1	 2- 1	    22796.23	Ej Spelad	1.00	 1
 0- 0	 1- 2	 0- 1	 2- 2	    36281.57	Ej Spelad	1.00	 1
 0- 0	 1- 2	 0- 1	 3- 1	    45048.88	Ej Spelad	1.00	 1
 0- 0	 1- 2	 0- 2	 0- 0	    37971.62	Ej Spelad	1.00	 1
 0- 0	 1- 2	 0- 2	 0- 1	    44966.71	Ej Spelad	1.00	 1
 0- 0	 1- 2	 0- 2	 1- 0	    32263.20	Ej Spelad	1.00	 1
 0- 0	 1- 2	 0- 2	 1- 1	    24810.27	Ej Spelad	1.00	 1
 0- 0	 1- 2	 0- 2	 1- 2	    49509.74	Ej Spelad	1.00	 1
 0- 0	 1- 2	 0- 2	 2- 0	    43859.98	Ej Spelad	1.00	 1
 0- 0	 1- 2	 0- 2	 2- 1	    38005.37	Ej Spelad	1.00	 1
 0- 0	 1- 2	 1- 0	 0- 0	    16647.34	Ej Spelad	1.00	 1
 0- 0	 1- 2	 1- 0	 0- 1	    19714.10	Ej Spelad	1.00	 1
 0- 0	 1- 2	 1- 0	 0- 2	    35990.86	Ej Spelad	1.00	 1
 0- 0	 1- 2	 1- 0	 1- 0	    14144.68	Ej Spelad	1.00	 1
 0- 0	 1- 2	 1- 0	 1- 1	    10877.20	Ej Spelad	1.00	 1
 0- 0	 1- 2	 1- 0	 1- 2	    21705.83	Ej Spelad	1.00	 1
 0- 0	 1- 2	 1- 0	 2- 0	    19228.89	Ej Spelad	1.00	 1
 0- 0	 1- 2	 1- 0	 2- 1	    16662.14	Ej Spelad	1.00	 1
 0- 0	 1- 2	 1- 0	 2- 2	    26518.80	Ej Spelad	1.00	 1
 0- 0	 1- 2	 1- 0	 3- 0	    36700.99	Ej Spelad	1.00	 1
 0- 0	 1- 2	 1- 0	 3- 1	    32926.96	Ej Spelad	1.00	 1
 0- 0	 1- 2	 1- 1	 0- 0	    12767.96	Ej Spelad	1.00	 1
 0- 0	 1- 2	 1- 1	 0- 1	    15120.06	Ej Spelad	1.00	 1
 0- 0	 1- 2	 1- 1	 0- 2	    27603.81	Ej Spelad	1.00	 1
 0- 0	 1- 2	 1- 1	 1- 0	    10848.50	Ej Spelad	1.00	 1
 0- 0	 1- 2	 1- 1	 1- 1	     8342.46	Ej Spelad	1.00	 1
 0- 0	 1- 2	 1- 1	 1- 2	    16647.66	Ej Spelad	1.00	 1
 0- 0	 1- 2	 1- 1	 1- 3	    41194.46	Ej Spelad	1.00	 1
 0- 0	 1- 2	 1- 1	 2- 0	    14747.92	Ej Spelad	1.00	 1
 0- 0	 1- 2	 1- 1	 2- 1	    12779.31	Ej Spelad	1.00	 1
 0- 0	 1- 2	 1- 1	 2- 2	    20339.04	Ej Spelad	1.00	 1
 0- 0	 1- 2	 1- 1	 3- 0	    28148.45	Ej Spelad	1.00	 1
 0- 0	 1- 2	 1- 1	 3- 1	    25253.90	Ej Spelad	1.00	 1
 0- 0	 1- 2	 1- 1	 3- 2	    43449.66	Ej Spelad	1.00	 1
 0- 0	 1- 2	 1- 2	 0- 0	    25340.32	Ej Spelad	1.00	 1
 0- 0	 1- 2	 1- 2	 0- 1	    30008.49	Ej Spelad	1.00	 1
 0- 0	 1- 2	 1- 2	 1- 0	    21530.82	Ej Spelad	1.00	 1
 0- 0	 1- 2	 1- 2	 1- 1	    16557.11	Ej Spelad	1.00	 1
 0- 0	 1- 2	 1- 2	 1- 2	    33040.28	Ej Spelad	1.00	 1
 0- 0	 1- 2	 1- 2	 2- 0	    29269.92	Ej Spelad	1.00	 1
 0- 0	 1- 2	 1- 2	 2- 1	    25362.85	Ej Spelad	1.00	 1
 0- 0	 1- 2	 1- 2	 2- 2	    40366.50	Ej Spelad	1.00	 1
 0- 0	 1- 2	 1- 3	 1- 0	    48806.51	Ej Spelad	1.00	 1
 0- 0	 1- 2	 1- 3	 1- 1	    37532.01	Ej Spelad	1.00	 1
 0- 0	 1- 2	 2- 0	 0- 0	    22978.89	Ej Spelad	1.00	 1
 0- 0	 1- 2	 2- 0	 0- 1	    27212.04	Ej Spelad	1.00	 1
 0- 0	 1- 2	 2- 0	 0- 2	    49679.41	Ej Spelad	1.00	 1
 0- 0	 1- 2	 2- 0	 1- 0	    19524.38	Ej Spelad	1.00	 1
 0- 0	 1- 2	 2- 0	 1- 1	    15014.17	Ej Spelad	1.00	 1
 0- 0	 1- 2	 2- 0	 1- 2	    29961.29	Ej Spelad	1.00	 1
 0- 0	 1- 2	 2- 0	 2- 0	    26542.29	Ej Spelad	1.00	 1
 0- 0	 1- 2	 2- 0	 2- 1	    22999.31	Ej Spelad	1.00	 1
 0- 0	 1- 2	 2- 0	 2- 2	    36604.79	Ej Spelad	1.00	 1
 0- 0	 1- 2	 2- 0	 3- 1	    45450.21	Ej Spelad	1.00	 1
 0- 0	 1- 2	 2- 1	 0- 0	    19659.71	Ej Spelad	1.00	 1
 0- 0	 1- 2	 2- 1	 0- 1	    23281.41	Ej Spelad	1.00	 1
 0- 0	 1- 2	 2- 1	 0- 2	    42503.50	Ej Spelad	1.00	 1
 0- 0	 1- 2	 2- 1	 1- 0	    16704.20	Ej Spelad	1.00	 1
 0- 0	 1- 2	 2- 1	 1- 1	    12845.46	Ej Spelad	1.00	 1
 0- 0	 1- 2	 2- 1	 1- 2	    25633.55	Ej Spelad	1.00	 1
 0- 0	 1- 2	 2- 1	 2- 0	    22708.40	Ej Spelad	1.00	 1
 0- 0	 1- 2	 2- 1	 2- 1	    19677.19	Ej Spelad	1.00	 1
 0- 0	 1- 2	 2- 1	 2- 2	    31317.44	Ej Spelad	1.00	 1
 0- 0	 1- 2	 2- 1	 3- 0	    43342.12	Ej Spelad	1.00	 1
 0- 0	 1- 2	 2- 1	 3- 1	    38885.18	Ej Spelad	1.00	 1
 0- 0	 1- 2	 2- 2	 0- 0	    31128.50	Ej Spelad	1.00	 1
 0- 0	 1- 2	 2- 2	 0- 1	    36862.96	Ej Spelad	1.00	 1
 0- 0	 1- 2	 2- 2	 1- 0	    26448.83	Ej Spelad	1.00	 1
 0- 0	 1- 2	 2- 2	 1- 1	    20339.04	Ej Spelad	1.00	 1
 0- 0	 1- 2	 2- 2	 1- 2	    40587.26	Ej Spelad	1.00	 1
 0- 0	 1- 2	 2- 2	 2- 0	    35955.68	Ej Spelad	1.00	 1
 0- 0	 1- 2	 2- 2	 2- 1	    31156.17	Ej Spelad	1.00	 1
 0- 0	 1- 2	 2- 2	 2- 2	    49586.92	Ej Spelad	1.00	 1
 0- 0	 1- 2	 3- 0	 0- 0	    48858.46	Ej Spelad	1.00	 1
 0- 0	 1- 2	 3- 0	 1- 0	    41513.39	Ej Spelad	1.00	 1
 0- 0	 1- 2	 3- 0	 1- 1	    31923.62	Ej Spelad	1.00	 1
 0- 0	 1- 2	 3- 0	 2- 1	    48901.89	Ej Spelad	1.00	 1
 0- 0	 1- 2	 3- 1	 0- 0	    38644.68	Ej Spelad	1.00	 1
 0- 0	 1- 2	 3- 1	 0- 1	    45763.77	Ej Spelad	1.00	 1
 0- 0	 1- 2	 3- 1	 1- 0	    32835.08	Ej Spelad	1.00	 1
 0- 0	 1- 2	 3- 1	 1- 1	    25250.04	Ej Spelad	1.00	 1
