   Komb             Odds    Kvot Spelat belopp Beräknat spelbelopp
 0- 1	 0- 1	 1- 1	     3285.91	 3.228	0.08	0.10
 0- 1	 0- 1	 1- 3	    14783.04	Ej Spelad	0.10	0.10
 0- 1	 0- 1	 2- 0	     5913.76	Ej Spelad	0.10	0.10
 0- 1	 0- 1	 2- 1	     5059.55	Ej Spelad	0.10	0.10
 0- 1	 0- 1	 2- 2	     8011.11	Ej Spelad	0.10	0.10
 0- 1	 0- 1	 3- 0	    12574.02	Ej Spelad	0.10	0.10
 0- 1	 0- 1	 3- 1	     9945.44	Ej Spelad	0.10	0.10
 0- 1	 0- 2	 0- 0	     8600.25	Ej Spelad	0.10	0.10
 0- 1	 0- 2	 0- 1	    10023.95	Ej Spelad	0.10	0.10
 0- 1	 0- 2	 1- 0	     7326.67	Ej Spelad	0.10	0.10
 0- 1	 0- 2	 1- 1	     5619.31	Ej Spelad	0.10	0.10
 0- 1	 0- 2	 1- 2	    11152.54	Ej Spelad	0.10	0.10
 0- 1	 0- 2	 2- 0	    10113.25	Ej Spelad	0.10	0.10
 0- 1	 0- 2	 2- 1	     8652.45	Ej Spelad	0.10	0.10
 0- 1	 0- 2	 2- 2	    13699.98	Ej Spelad	0.10	0.10
 0- 1	 0- 3	 0- 0	    16540.89	Ej Spelad	0.10	0.10
 0- 1	 0- 3	 1- 0	    14091.41	Ej Spelad	0.10	0.10
 0- 1	 0- 3	 1- 1	    10807.65	Ej Spelad	0.10	0.10
 0- 1	 0- 3	 2- 1	    16641.29	Ej Spelad	0.10	0.10
 0- 1	 1- 0	 1- 0	     4398.72	 4.822	0.06	0.10
 0- 1	 1- 0	 1- 1	     3373.67	 6.288	0.07	0.10
 0- 1	 1- 0	 3- 0	    12909.86	Ej Spelad	0.10	0.10
 0- 1	 1- 0	 3- 1	    10211.07	Ej Spelad	0.10	0.10
 0- 1	 1- 1	 0- 0	     3526.20	 6.016	0.07	0.10
 0- 1	 1- 1	 0- 1	     4109.93	 5.161	0.06	0.10
 0- 1	 1- 1	 1- 0	     3004.02	 7.061	0.08	0.10
 0- 1	 1- 1	 1- 1	     2303.98	 4.603	0.11	0.10
 0- 1	 1- 1	 2- 0	     4146.55	 5.116	0.06	0.10
 0- 1	 1- 1	 2- 1	     3547.60	 5.979	0.07	0.10
 0- 1	 1- 1	 3- 0	     8816.52	Ej Spelad	0.10	0.10
 0- 1	 1- 1	 3- 1	     6973.44	Ej Spelad	0.10	0.10
 0- 1	 1- 1	 3- 2	    11856.71	Ej Spelad	0.10	0.10
 0- 1	 1- 2	 1- 0	     5109.08	Ej Spelad	0.10	0.10
 0- 1	 1- 2	 1- 1	     3918.49	 5.413	0.06	0.10
 0- 1	 1- 2	 2- 0	     7052.23	Ej Spelad	0.10	0.10
 0- 1	 1- 2	 2- 1	     6033.58	Ej Spelad	0.10	0.10
 0- 1	 1- 2	 2- 2	     9553.35	Ej Spelad	0.10	0.10
 0- 1	 1- 2	 3- 0	    14994.69	Ej Spelad	0.10	0.10
 0- 1	 1- 2	 3- 1	    11860.08	Ej Spelad	0.10	0.10
 0- 1	 1- 3	 0- 0	    13224.91	Ej Spelad	0.10	0.10
 0- 1	 1- 3	 0- 1	    15414.19	Ej Spelad	0.10	0.10
 0- 1	 1- 3	 1- 0	    11266.48	Ej Spelad	0.10	0.10
