   Komb             Odds    Kvot Spelat belopp Beräknat spelbelopp
 2- 1	 0- 5	 0- 0	     6117.76	Ej Spelad	0.10	0.10
 2- 1	 1- 2	 0- 0	      823.02	 1.744	0.22	0.20
 2- 1	 1- 3	 0- 0	      926.93	 2.452	0.25	0.20
 2- 1	 1- 4	 0- 0	     1184.08	11.516	0.18	0.20
 2- 1	 1- 5	 0- 0	     2621.90	Ej Spelad	0.10	0.10
 2- 1	 1- 6	 0- 0	     5561.60	Ej Spelad	0.10	0.10
 2- 1	 2- 2	 0- 0	      408.29	 2.569	0.57	0.60
 2- 1	 2- 3	 0- 0	      674.75	 2.695	0.35	0.40
 2- 1	 2- 4	 0- 0	      922.27	 9.857	0.24	0.20
 2- 1	 2- 5	 0- 0	     1379.95	Ej Spelad	0.10	0.10
 2- 1	 2- 6	 0- 0	     3398.75	Ej Spelad	0.10	0.10
 2- 1	 2- 7	 0- 0	     8342.40	Ej Spelad	0.10	0.10
 2- 1	 2- 8	 0- 0	    13109.48	Ej Spelad	0.10	0.10
 2- 1	 3- 3	 0- 0	      306.22	 5.567	0.80	0.80
 2- 1	 3- 4	 0- 0	     1359.50	 5.015	0.18	0.20
 2- 1	 3- 5	 0- 0	     1542.29	17.683	0.12	0.10
 2- 1	 3- 6	 0- 0	     3462.88	Ej Spelad	0.10	0.10
 2- 1	 3- 7	 0- 0	    11470.79	Ej Spelad	0.10	0.10
 2- 1	 4- 4	 0- 0	      612.44	 8.906	0.36	0.40
 2- 1	 4- 5	 0- 0	     4171.20	 6.538	0.06	0.10
 2- 1	 4- 6	 0- 0	     5920.41	Ej Spelad	0.10	0.10
 2- 1	 4- 7	 0- 0	     9176.63	Ej Spelad	0.10	0.10
 2- 1	 5- 6	 0- 0	    10196.26	Ej Spelad	0.10	0.10
 2- 1	 6- 5	 0- 0	    10888.20	Ej Spelad	0.10	0.10
 2- 2	 0- 1	 0- 0	     1465.87	 9.303	0.15	0.20
 2- 2	 0- 2	 0- 0	     1183.97	11.518	0.18	0.20
 2- 2	 0- 3	 0- 0	      887.98	30.713	0.17	0.20
 2- 2	 0- 4	 0- 0	     1620.17	Ej Spelad	0.10	0.10
 2- 2	 0- 5	 0- 0	     3078.32	Ej Spelad	0.10	0.10
 2- 2	 0- 6	 0- 0	    11543.71	Ej Spelad	0.10	0.10
 2- 2	 1- 0	 0- 0	     1349.83	 2.245	0.16	0.20
 2- 2	 1- 2	 0- 0	      414.12	 4.390	0.60	0.60
 2- 2	 1- 3	 0- 0	      466.41	 4.873	0.53	0.50
 2- 2	 1- 4	 0- 0	      595.80	22.887	0.28	0.30
 2- 2	 1- 5	 0- 0	     1319.28	Ej Spelad	0.10	0.10
 2- 2	 1- 6	 0- 0	     2798.47	Ej Spelad	0.10	0.10
 2- 2	 1- 7	 0- 0	     8395.42	Ej Spelad	0.10	0.10
 2- 2	 2- 1	 0- 0	      396.33	 2.458	0.58	0.60
 2- 2	 2- 2	 0- 0	      205.44	 4.425	1.21	1.20
 2- 2	 2- 3	 0- 0	      339.52	 4.725	0.73	0.70
