   Komb             Odds    Kvot Spelat belopp Beräknat spelbelopp
 4- 1	 1- 5	 0- 0	     3154.06	 8.647	0.07	0.10
 4- 1	 1- 6	 0- 0	     6690.44	Ej Spelad	0.10	0.10
 4- 1	 2- 4	 0- 0	     1109.47	 2.731	0.22	0.20
 4- 1	 2- 5	 0- 0	     1660.03	 5.476	0.15	0.10
 4- 1	 2- 6	 0- 0	     4088.60	Ej Spelad	0.10	0.10
 4- 1	 2- 7	 0- 0	    10035.65	Ej Spelad	0.10	0.10
 4- 1	 3- 3	 0- 0	      368.37	 1.575	0.44	0.40
 4- 1	 3- 4	 0- 0	     1635.44	 1.668	0.11	0.10
 4- 1	 3- 5	 0- 0	     1855.33	 3.675	0.13	0.10
 4- 1	 3- 6	 0- 0	     4165.74	Ej Spelad	0.10	0.10
 4- 1	 3- 7	 0- 0	    13799.02	Ej Spelad	0.10	0.10
 4- 1	 4- 4	 0- 0	      736.75	 2.468	0.31	0.30
 4- 1	 4- 7	 0- 0	    11039.22	Ej Spelad	0.10	0.10
 4- 1	 5- 6	 0- 0	    12265.80	Ej Spelad	0.10	0.10
 4- 2	 0- 1	 0- 0	     3132.35	 2.902	0.08	0.10
 4- 2	 0- 2	 0- 0	     2529.98	 3.593	0.10	0.10
 4- 2	 0- 3	 0- 0	     1897.48	 7.187	0.12	0.10
 4- 2	 0- 4	 0- 0	     3462.07	Ej Spelad	0.10	0.10
 4- 2	 0- 5	 0- 0	     6577.94	Ej Spelad	0.10	0.10
 4- 2	 1- 2	 0- 0	      884.92	 1.813	0.22	0.20
 4- 2	 1- 3	 0- 0	      996.66	 2.736	0.24	0.20
 4- 2	 1- 4	 0- 0	     1273.15	 7.140	0.18	0.20
 4- 2	 1- 5	 0- 0	     2819.12	 9.674	0.08	0.10
 4- 2	 1- 6	 0- 0	     5979.95	Ej Spelad	0.10	0.10
 4- 2	 2- 3	 0- 0	      725.51	 1.446	0.19	0.20
 4- 2	 2- 4	 0- 0	      991.65	 3.438	0.25	0.30
 4- 2	 2- 5	 0- 0	     1483.75	 9.191	0.15	0.10
 4- 2	 2- 6	 0- 0	     3654.41	Ej Spelad	0.10	0.10
 4- 2	 2- 7	 0- 0	     8969.92	Ej Spelad	0.10	0.10
 4- 2	 2- 8	 0- 0	    14095.59	Ej Spelad	0.10	0.10
 4- 2	 3- 3	 0- 0	      329.25	 2.020	0.63	0.60
 4- 2	 3- 4	 0- 0	     1461.76	 2.073	0.15	0.10
 4- 2	 3- 5	 0- 0	     1658.30	 5.482	0.15	0.10
 4- 2	 3- 6	 0- 0	     3723.36	Ej Spelad	0.10	0.10
 4- 2	 3- 7	 0- 0	    12333.64	Ej Spelad	0.10	0.10
 4- 2	 4- 4	 0- 0	      658.51	 3.765	0.38	0.40
 4- 2	 4- 6	 0- 0	     6365.75	Ej Spelad	0.10	0.10
 4- 2	 4- 7	 0- 0	     9866.91	Ej Spelad	0.10	0.10
 4- 2	 5- 6	 0- 0	    10963.24	Ej Spelad	0.10	0.10
 4- 3	 0- 1	 0- 0	     4238.99	 3.217	0.06	0.10
 4- 3	 0- 2	 0- 0	     3423.80	 7.966	0.07	0.10
 4- 3	 0- 3	 0- 0	     2567.85	10.621	0.08	0.10
 4- 3	 0- 4	 0- 0	     4685.20	Ej Spelad	0.10	0.10
 4- 3	 0- 5	 0- 0	     8901.88	Ej Spelad	0.10	0.10
 4- 3	 1- 2	 0- 0	     1197.56	 2.530	0.19	0.20
 4- 3	 1- 3	 0- 0	     1348.77	 2.889	0.18	0.20
 4- 3	 1- 4	 0- 0	     1722.95	 7.915	0.13	0.10
 4- 3	 1- 5	 0- 0	     3815.09	Ej Spelad	0.10	0.10
 4- 3	 1- 6	 0- 0	     8092.62	Ej Spelad	0.10	0.10
 4- 3	 2- 2	 0- 0	      594.10	 2.416	0.39	0.40
 4- 3	 2- 3	 0- 0	      981.83	 1.984	0.21	0.20
 4- 3	 2- 4	 0- 0	     1341.99	 5.081	0.18	0.20
 4- 3	 2- 5	 0- 0	     2007.94	Ej Spelad	0.10	0.10
 4- 3	 2- 6	 0- 0	     4945.49	Ej Spelad	0.10	0.10
 4- 3	 2- 7	 0- 0	    12138.93	Ej Spelad	0.10	0.10
 4- 3	 3- 3	 0- 0	      445.58	 3.060	0.55	0.50
 4- 3	 3- 4	 0- 0	     1978.20	 2.757	0.12	0.10
 4- 3	 3- 5	 0- 0	     2244.17	12.153	0.09	0.10
 4- 3	 3- 6	 0- 0	     5038.80	Ej Spelad	0.10	0.10
 4- 3	 4- 4	 0- 0	      891.16	 6.121	0.27	0.30
 4- 3	 4- 6	 0- 0	     8614.73	Ej Spelad	0.10	0.10
 4- 3	 4- 7	 0- 0	    13352.83	Ej Spelad	0.10	0.10
 4- 4	 0- 1	 0- 0	     2198.80	Ej Spelad	0.10	0.10
 4- 4	 0- 2	 0- 0	     1775.96	15.357	0.11	0.10
 4- 4	 0- 3	 0- 0	     1331.97	20.476	0.13	0.10
 4- 4	 0- 4	 0- 0	     2430.25	Ej Spelad	0.10	0.10
 4- 4	 0- 5	 0- 0	     4617.48	Ej Spelad	0.10	0.10
 4- 4	 1- 0	 0- 0	     2024.74	 6.735	0.12	0.10
 4- 4	 1- 2	 0- 0	      621.19	14.635	0.31	0.30
 4- 4	 1- 3	 0- 0	      699.62	19.491	0.25	0.30
 4- 4	 1- 4	 0- 0	      893.71	Ej Spelad	0.10	0.10
 4- 4	 1- 5	 0- 0	     1978.92	Ej Spelad	0.10	0.10
 4- 4	 1- 6	 0- 0	     4197.71	Ej Spelad	0.10	0.10
 4- 4	 1- 7	 0- 0	    12593.14	Ej Spelad	0.10	0.10
 4- 4	 2- 0	 0- 0	     1862.76	 2.440	0.12	0.10
 4- 4	 2- 1	 0- 0	      594.50	 6.554	0.40	0.40
 4- 4	 2- 2	 0- 0	      308.17	 9.833	0.70	0.70
 4- 4	 2- 3	 0- 0	      509.28	17.850	0.35	0.40
 4- 4	 2- 4	 0- 0	      696.10	39.179	0.19	0.20
 4- 4	 2- 5	 0- 0	     1041.54	Ej Spelad	0.10	0.10
 4- 4	 2- 6	 0- 0	     2565.27	Ej Spelad	0.10	0.10
 4- 4	 2- 7	 0- 0	     6296.57	Ej Spelad	0.10	0.10
 4- 4	 2- 8	 0- 0	     9894.61	Ej Spelad	0.10	0.10
 4- 4	 3- 0	 0- 0	     1587.58	 2.147	0.14	0.10
 4- 4	 3- 1	 0- 0	      702.05	 2.988	0.35	0.30
 4- 4	 3- 2	 0- 0	      539.41	 5.618	0.45	0.50
 4- 4	 3- 3	 0- 0	      231.13	19.667	0.76	0.80
 4- 4	 3- 4	 0- 0	     1026.11	26.579	0.15	0.20
 4- 4	 3- 5	 0- 0	     1164.07	Ej Spelad	0.10	0.10
 4- 4	 3- 6	 0- 0	     2613.67	Ej Spelad	0.10	0.10
 4- 4	 3- 7	 0- 0	     8657.78	Ej Spelad	0.10	0.10
 4- 4	 4- 1	 0- 0	      889.85	 1.916	0.23	0.20
 4- 4	 4- 2	 0- 0	      705.59	 2.973	0.35	0.30
 4- 4	 4- 3	 0- 0	     1145.14	 4.763	0.22	0.20
 4- 4	 4- 4	 0- 0	      462.25	29.500	0.32	0.30
 4- 4	 4- 5	 0- 0	     3148.28	Ej Spelad	0.10	0.10
 4- 4	 4- 6	 0- 0	     4468.53	Ej Spelad	0.10	0.10
 4- 4	 4- 7	 0- 0	     6926.23	Ej Spelad	0.10	0.10
 4- 4	 5- 2	 0- 0	     1174.01	 2.323	0.19	0.20
 4- 4	 5- 3	 0- 0	     1247.38	 4.373	0.20	0.20
 4- 4	 5- 4	 0- 0	     3175.16	 8.589	0.07	0.10
 4- 4	 5- 6	 0- 0	     7695.81	Ej Spelad	0.10	0.10
 4- 4	 6- 2	 0- 0	     2587.17	 1.506	0.06	0.10
 4- 4	 6- 3	 0- 0	     2367.92	 3.839	0.11	0.10
 4- 4	 6- 5	 0- 0	     8218.06	Ej Spelad	0.10	0.10
 4- 4	 7- 4	 0- 0	     8731.69	Ej Spelad	0.10	0.10
 4- 5	 0- 2	 0- 0	    12953.31	Ej Spelad	0.10	0.10
 4- 5	 0- 3	 0- 0	     9714.98	Ej Spelad	0.10	0.10
 4- 5	 1- 0	 0- 0	    14767.87	Ej Spelad	0.10	0.10
 4- 5	 1- 2	 0- 0	     4530.75	Ej Spelad	0.10	0.10
 4- 5	 1- 3	 0- 0	     5102.82	Ej Spelad	0.10	0.10
 4- 5	 1- 4	 0- 0	     6518.44	Ej Spelad	0.10	0.10
 4- 5	 1- 5	 0- 0	    14433.68	Ej Spelad	0.10	0.10
 4- 5	 2- 1	 0- 0	     4336.10	 6.290	0.06	0.10
 4- 5	 2- 2	 0- 0	     2247.68	12.134	0.09	0.10
 4- 5	 2- 3	 0- 0	     3714.55	Ej Spelad	0.10	0.10
 4- 5	 2- 4	 0- 0	     5077.18	Ej Spelad	0.10	0.10
 4- 5	 2- 5	 0- 0	     7596.68	Ej Spelad	0.10	0.10
 4- 5	 3- 2	 0- 0	     3934.30	 3.466	0.06	0.10
 4- 5	 3- 3	 0- 0	     1685.76	16.178	0.11	0.10
 4- 5	 3- 4	 0- 0	     7484.13	Ej Spelad	0.10	0.10
 4- 5	 3- 5	 0- 0	     8490.40	Ej Spelad	0.10	0.10
 4- 5	 4- 4	 0- 0	     3371.52	Ej Spelad	0.10	0.10
 4- 6	 1- 2	 0- 0	     7413.96	Ej Spelad	0.10	0.10
 4- 6	 1- 3	 0- 0	     8350.06	Ej Spelad	0.10	0.10
 4- 6	 1- 4	 0- 0	    10666.53	Ej Spelad	0.10	0.10
 4- 6	 2- 1	 0- 0	     7095.43	Ej Spelad	0.10	0.10
 4- 6	 2- 2	 0- 0	     3678.02	Ej Spelad	0.10	0.10
 4- 6	 2- 3	 0- 0	     6078.36	Ej Spelad	0.10	0.10
 4- 6	 2- 4	 0- 0	     8308.10	Ej Spelad	0.10	0.10
 4- 6	 2- 5	 0- 0	    12430.92	Ej Spelad	0.10	0.10
 4- 6	 3- 2	 0- 0	     6437.94	Ej Spelad	0.10	0.10
 4- 6	 3- 3	 0- 0	     2758.52	Ej Spelad	0.10	0.10
 4- 6	 3- 4	 0- 0	    12246.76	Ej Spelad	0.10	0.10
 4- 6	 3- 5	 0- 0	    13893.38	Ej Spelad	0.10	0.10
 4- 6	 4- 3	 0- 0	    13667.43	Ej Spelad	0.10	0.10
 4- 6	 4- 4	 0- 0	     5517.03	Ej Spelad	0.10	0.10
 4- 6	 5- 2	 0- 0	    14011.98	Ej Spelad	0.10	0.10
 4- 7	 2- 2	 0- 0	    12137.47	Ej Spelad	0.10	0.10
 4- 7	 3- 3	 0- 0	     9103.10	Ej Spelad	0.10	0.10
 5- 1	 0- 4	 0- 0	     8693.65	Ej Spelad	0.10	0.10
 5- 1	 1- 4	 0- 0	     3197.02	 1.706	0.06	0.10
 5- 1	 2- 5	 0- 0	     3725.85	 3.660	0.07	0.10
 5- 1	 2- 6	 0- 0	     9176.63	Ej Spelad	0.10	0.10
 5- 1	 3- 6	 0- 0	     9349.78	Ej Spelad	0.10	0.10
 5- 2	 0- 2	 0- 0	     3998.43	 2.274	0.06	0.10
 5- 2	 0- 3	 0- 0	     2998.82	 9.095	0.07	0.10
 5- 2	 0- 4	 0- 0	     5471.53	Ej Spelad	0.10	0.10
 5- 2	 0- 5	 0- 0	    10395.91	Ej Spelad	0.10	0.10
 5- 2	 1- 4	 0- 0	     2012.11	 4.518	0.12	0.10
 5- 2	 1- 5	 0- 0	     4455.39	 6.121	0.05	0.10
 5- 2	 2- 5	 0- 0	     2344.94	 5.815	0.10	0.10
 5- 2	 2- 6	 0- 0	     5775.50	Ej Spelad	0.10	0.10
 5- 2	 2- 7	 0- 0	    14176.24	Ej Spelad	0.10	0.10
 5- 2	 3- 5	 0- 0	     2620.82	 3.469	0.09	0.10
 5- 2	 3- 6	 0- 0	     5884.48	Ej Spelad	0.10	0.10
 5- 2	 4- 4	 0- 0	     1040.72	 1.456	0.14	0.10
 5- 3	 0- 2	 0- 0	     4725.41	 2.886	0.05	0.10
 5- 3	 0- 3	 0- 0	     3544.06	 7.695	0.07	0.10
 5- 3	 0- 4	 0- 0	     6466.35	Ej Spelad	0.10	0.10
 5- 3	 0- 5	 0- 0	    12286.07	Ej Spelad	0.10	0.10
 5- 3	 1- 2	 0- 0	     1652.83	 1.650	0.10	0.10
 5- 3	 1- 3	 0- 0	     1861.53	 2.093	0.11	0.10
 5- 3	 1- 4	 0- 0	     2377.95	 5.735	0.10	0.10
 5- 3	 1- 5	 0- 0	     5265.46	Ej Spelad	0.10	0.10
 5- 3	 2- 2	 0- 0	      819.96	 1.663	0.21	0.20
 5- 3	 2- 5	 0- 0	     2771.29	Ej Spelad	0.10	0.10
 5- 3	 2- 6	 0- 0	     6825.60	Ej Spelad	0.10	0.10
 5- 3	 3- 3	 0- 0	      614.97	 1.706	0.29	0.30
 5- 3	 3- 5	 0- 0	     3097.33	 8.805	0.07	0.10
 5- 3	 3- 6	 0- 0	     6954.38	Ej Spelad	0.10	0.10
 5- 3	 4- 4	 0- 0	     1229.94	 1.848	0.16	0.20
 5- 4	 0- 2	 0- 0	    10395.91	Ej Spelad	0.10	0.10
 5- 4	 0- 4	 0- 0	    14225.98	Ej Spelad	0.10	0.10
 5- 4	 1- 2	 0- 0	     3636.24	 3.750	0.07	0.10
 5- 4	 1- 3	 0- 0	     4095.36	 6.659	0.06	0.10
 5- 4	 1- 4	 0- 0	     5231.49	Ej Spelad	0.10	0.10
 5- 4	 1- 5	 0- 0	    11584.01	Ej Spelad	0.10	0.10
 5- 4	 2- 2	 0- 0	     1803.92	 2.520	0.13	0.10
 5- 4	 2- 3	 0- 0	     2981.18	 4.574	0.08	0.10
 5- 4	 2- 4	 0- 0	     4074.78	Ej Spelad	0.10	0.10
 5- 4	 2- 5	 0- 0	     6096.85	Ej Spelad	0.10	0.10
 5- 4	 3- 3	 0- 0	     1352.94	 6.719	0.18	0.20
 5- 4	 3- 5	 0- 0	     6814.12	Ej Spelad	0.10	0.10
 5- 4	 4- 4	 0- 0	     2705.87	 5.040	0.09	0.10
 5- 6	 2- 2	 0- 0	    10114.56	Ej Spelad	0.10	0.10
 5- 6	 3- 3	 0- 0	     7585.92	Ej Spelad	0.10	0.10
 5- 7	 3- 3	 0- 0	    11378.88	Ej Spelad	0.10	0.10
 6- 3	 0- 3	 0- 0	     5717.75	Ej Spelad	0.10	0.10
 6- 3	 0- 4	 0- 0	    10432.38	Ej Spelad	0.10	0.10
 6- 3	 1- 2	 0- 0	     2666.57	 2.046	0.08	0.10
 6- 3	 1- 3	 0- 0	     3003.26	 1.816	0.06	0.10
 6- 3	 1- 4	 0- 0	     3836.43	 3.554	0.06	0.10
 6- 3	 1- 5	 0- 0	     8494.94	Ej Spelad	0.10	0.10
 6- 3	 2- 2	 0- 0	     1322.87	 1.374	0.09	0.10
 6- 3	 2- 5	 0- 0	     4471.02	Ej Spelad	0.10	0.10
 6- 3	 2- 6	 0- 0	    11011.96	Ej Spelad	0.10	0.10
 6- 3	 3- 3	 0- 0	      992.15	 1.374	0.13	0.10
 6- 3	 3- 6	 0- 0	    11219.74	Ej Spelad	0.10	0.10
 6- 3	 4- 5	 0- 0	    13514.68	Ej Spelad	0.10	0.10
 6- 4	 0- 1	 0- 0	    13356.83	Ej Spelad	0.10	0.10
 6- 4	 0- 2	 0- 0	    10788.21	Ej Spelad	0.10	0.10
 6- 4	 0- 3	 0- 0	     8091.16	Ej Spelad	0.10	0.10
 6- 4	 0- 4	 0- 0	    14762.81	Ej Spelad	0.10	0.10
 6- 4	 1- 2	 0- 0	     3773.45	 3.614	0.07	0.10
 6- 4	 1- 3	 0- 0	     4249.90	 6.417	0.06	0.10
 6- 4	 1- 4	 0- 0	     5428.90	Ej Spelad	0.10	0.10
 6- 4	 1- 5	 0- 0	    12021.14	Ej Spelad	0.10	0.10
 6- 4	 2- 1	 0- 0	     3611.33	 2.517	0.06	0.10
 6- 4	 2- 2	 0- 0	     1871.99	 7.284	0.12	0.10
 6- 4	 2- 3	 0- 0	     3093.68	 4.408	0.08	0.10
 6- 4	 2- 4	 0- 0	     4228.54	 6.450	0.06	0.10
 6- 4	 2- 5	 0- 0	     6326.92	Ej Spelad	0.10	0.10
 6- 4	 3- 2	 0- 0	     3276.69	 2.774	0.07	0.10
 6- 4	 3- 3	 0- 0	     1403.99	 9.713	0.16	0.20
 6- 4	 3- 5	 0- 0	     7071.26	Ej Spelad	0.10	0.10
 6- 4	 4- 2	 0- 0	     4286.18	 2.121	0.05	0.10
 6- 4	 4- 4	 0- 0	     2807.98	 9.713	0.08	0.10
 6- 5	 1- 2	 0- 0	    12499.56	Ej Spelad	0.10	0.10
 6- 5	 1- 3	 0- 0	    14077.79	Ej Spelad	0.10	0.10
 6- 5	 2- 3	 0- 0	    10247.80	Ej Spelad	0.10	0.10
 6- 5	 2- 4	 0- 0	    14007.05	Ej Spelad	0.10	0.10
 6- 5	 3- 3	 0- 0	     4650.72	Ej Spelad	0.10	0.10
 6- 5	 4- 4	 0- 0	     9301.44	Ej Spelad	0.10	0.10
 7- 4	 0- 3	 0- 0	    14294.37	Ej Spelad	0.10	0.10
 7- 4	 1- 3	 0- 0	     7508.16	Ej Spelad	0.10	0.10
 7- 4	 1- 4	 0- 0	     9591.06	Ej Spelad	0.10	0.10
 7- 4	 2- 2	 0- 0	     3307.18	 2.749	0.07	0.10
 7- 4	 2- 4	 0- 0	     7470.43	Ej Spelad	0.10	0.10
 7- 4	 2- 5	 0- 0	    11177.56	Ej Spelad	0.10	0.10
 7- 4	 3- 3	 0- 0	     2480.38	 5.498	0.10	0.10
 7- 4	 3- 4	 0- 0	    11011.96	Ej Spelad	0.10	0.10
 7- 4	 3- 5	 0- 0	    12492.56	Ej Spelad	0.10	0.10
 7- 5	 1- 2	 0- 0	    12499.56	Ej Spelad	0.10	0.10
 7- 5	 1- 3	 0- 0	    14077.79	Ej Spelad	0.10	0.10
 7- 5	 2- 3	 0- 0	    10247.80	Ej Spelad	0.10	0.10
 7- 5	 2- 4	 0- 0	    14007.05	Ej Spelad	0.10	0.10
 7- 5	 3- 3	 0- 0	     4650.72	Ej Spelad	0.10	0.10
 7- 5	 4- 4	 0- 0	     9301.44	Ej Spelad	0.10	0.10
Beräknad vinstchans: 0.51 Totsumma: 961.7 Spelat 140.0
Antal spelbara: 961 Antal över 10: 0 Antal enkronor: 960
Vinstchans med komb. över 10 kronor: 0.00 Vinstchans med enkronor: 0.50 
Spelat på odds över 250.00 : 132.70 kr
