   Komb             Odds    Kvot Spelat belopp Beräknat spelbelopp
 3- 3	 5- 7	 3- 1	   228370.03	Ej Spelad	1.00	 1
 3- 3	 5- 7	 3- 2	   187511.50	Ej Spelad	1.00	 1
 3- 3	 5- 7	 3- 3	    93071.15	Ej Spelad	1.00	 1
 3- 3	 5- 7	 4- 2	   223160.08	Ej Spelad	1.00	 1
 3- 3	 5- 7	 4- 4	   186142.30	Ej Spelad	1.00	 1
 3- 3	 5- 8	 3- 3	   248189.75	Ej Spelad	1.00	 1
 3- 3	10- 1	 3- 3	   250308.38	Ej Spelad	1.00	 1
 3- 4	 2- 2	 5- 6	   192774.22	Ej Spelad	1.00	 1
 3- 4	 3- 3	 5- 6	   144580.69	Ej Spelad	1.00	 1
 3- 4	 3- 3	 6- 5	   249333.00	Ej Spelad	1.00	 1
 3- 4	 5- 6	 3- 3	   197479.05	Ej Spelad	1.00	 1
 3- 5	 2- 2	 5- 6	   217861.28	Ej Spelad	1.00	 1
 3- 5	 3- 3	 5- 6	   163395.97	Ej Spelad	1.00	 1
 3- 5	 5- 6	 3- 3	   223178.38	Ej Spelad	1.00	 1
 4- 0	 3- 3	 5- 6	   253252.78	Ej Spelad	1.00	 1
 4- 1	 2- 1	 5- 6	   248311.56	Ej Spelad	1.00	 1
 4- 1	 2- 2	 5- 6	   128715.93	Ej Spelad	1.00	 1
 4- 1	 2- 2	 6- 5	   221973.83	Ej Spelad	1.00	 1
 4- 1	 2- 3	 5- 6	   212718.03	Ej Spelad	1.00	 1
 4- 1	 3- 2	 5- 6	   225302.00	Ej Spelad	1.00	 1
 4- 1	 3- 3	 5- 6	    96536.95	Ej Spelad	1.00	 1
 4- 1	 3- 3	 6- 5	   166480.38	Ej Spelad	1.00	 1
 4- 1	 3- 3	 7- 5	   192092.75	Ej Spelad	1.00	 1
 4- 1	 4- 4	 5- 6	   193073.89	Ej Spelad	1.00	 1
 4- 1	 5- 6	 2- 2	   175809.80	Ej Spelad	1.00	 1
 4- 1	 5- 6	 3- 3	   131857.34	Ej Spelad	1.00	 1
 4- 2	 1- 2	 5- 6	   231905.64	Ej Spelad	1.00	 1
 4- 2	 2- 1	 5- 6	   221942.19	Ej Spelad	1.00	 1
 4- 2	 2- 2	 5- 6	   115046.98	Ej Spelad	1.00	 1
 4- 2	 2- 2	 6- 5	   198401.39	Ej Spelad	1.00	 1
 4- 2	 2- 2	 7- 5	   228924.69	Ej Spelad	1.00	 1
 4- 2	 2- 3	 5- 6	   190128.52	Ej Spelad	1.00	 1
 4- 2	 3- 2	 5- 6	   201376.13	Ej Spelad	1.00	 1
 4- 2	 3- 3	 5- 6	    86285.23	Ej Spelad	1.00	 1
 4- 2	 3- 3	 6- 5	   148801.05	Ej Spelad	1.00	 1
 4- 2	 3- 3	 7- 5	   171693.52	Ej Spelad	1.00	 1
 4- 2	 4- 4	 5- 6	   172570.47	Ej Spelad	1.00	 1
 4- 2	 5- 6	 2- 2	   157139.73	Ej Spelad	1.00	 1
 4- 2	 5- 6	 3- 2	   237443.41	Ej Spelad	1.00	 1
 4- 2	 5- 6	 3- 3	   117854.80	Ej Spelad	1.00	 1
 4- 2	 5- 6	 4- 4	   235709.61	Ej Spelad	1.00	 1
 4- 3	 2- 2	 5- 6	   155692.31	Ej Spelad	1.00	 1
 4- 3	 3- 3	 5- 6	   116769.23	Ej Spelad	1.00	 1
 4- 3	 3- 3	 6- 5	   201371.47	Ej Spelad	1.00	 1
 4- 3	 3- 3	 7- 5	   232351.70	Ej Spelad	1.00	 1
 4- 3	 4- 4	 5- 6	   233538.47	Ej Spelad	1.00	 1
 4- 3	 5- 6	 2- 2	   212656.14	Ej Spelad	1.00	 1
 4- 3	 5- 6	 3- 3	   159492.11	Ej Spelad	1.00	 1
 4- 4	 1- 2	 5- 6	   162789.58	Ej Spelad	1.00	 1
 4- 4	 1- 3	 5- 6	   183343.83	Ej Spelad	1.00	 1
 4- 4	 1- 4	 5- 6	   234206.94	Ej Spelad	1.00	 1
 4- 4	 2- 1	 5- 6	   155795.59	Ej Spelad	1.00	 1
 4- 4	 2- 2	 5- 6	    80758.92	Ej Spelad	1.00	 1
 4- 4	 2- 2	 6- 5	   139270.78	Ej Spelad	1.00	 1
 4- 4	 2- 2	 7- 5	   160697.06	Ej Spelad	1.00	 1
 4- 4	 2- 3	 5- 6	   133463.52	Ej Spelad	1.00	 1
 4- 4	 2- 3	 6- 5	   230161.17	Ej Spelad	1.00	 1
 4- 4	 2- 4	 5- 6	   182422.50	Ej Spelad	1.00	 1
 4- 4	 3- 1	 5- 6	   183979.73	Ej Spelad	1.00	 1
 4- 4	 3- 2	 5- 6	   141358.94	Ej Spelad	1.00	 1
 4- 4	 3- 2	 6- 5	   243777.02	Ej Spelad	1.00	 1
 4- 4	 3- 3	 5- 6	    60569.20	Ej Spelad	1.00	 1
 4- 4	 3- 3	 5- 7	   193821.42	Ej Spelad	1.00	 1
 4- 4	 3- 3	 6- 5	   104453.09	Ej Spelad	1.00	 1
 4- 4	 3- 3	 7- 5	   120522.80	Ej Spelad	1.00	 1
 4- 4	 4- 1	 0- 1	   138190.95	Ej Spelad	1.00	 1
 4- 4	 4- 1	 0- 2	   133255.56	Ej Spelad	1.00	 1
 4- 4	 4- 1	 0- 3	    69095.48	Ej Spelad	1.00	 1
 4- 4	 4- 1	 0- 4	   155464.81	Ej Spelad	1.00	 1
 4- 4	 4- 1	 1- 0	    87424.88	Ej Spelad	1.00	 1
 4- 4	 4- 1	 1- 2	    36942.14	Ej Spelad	1.00	 1
 4- 4	 4- 1	 1- 3	    36224.81	Ej Spelad	1.00	 1
