   Komb             Odds    Kvot Spelat belopp Beräknat spelbelopp
 0- 0	 0- 0	 0- 3	     8530.96	 2.135	0.76	 1
 0- 0	 0- 2	 0- 3	    13398.88	 2.719	0.53	 1
 0- 0	 0- 2	 1- 0	     2099.24	 1.578	2.32	 2
 0- 0	 0- 2	 1- 1	     1610.05	 1.616	3.13	 3
 0- 0	 0- 2	 2- 0	     2897.66	 1.257	1.00	 1
 0- 0	 0- 2	 2- 1	     2479.11	 1.336	1.41	 1
 0- 0	 0- 2	 3- 1	     4873.13	 1.246	0.57	 1
 0- 0	 0- 2	 3- 2	     8285.61	 2.199	0.80	 1
 0- 0	 0- 3	 0- 0	     4739.31	 3.844	1.58	 2
 0- 0	 0- 3	 0- 1	     5523.86	 3.298	1.34	 1
 0- 0	 0- 3	 1- 0	     4037.48	 2.256	1.65	 2
 0- 0	 0- 3	 1- 1	     3096.62	 3.922	2.42	 2
 0- 0	 0- 3	 1- 2	     6145.79	 1.976	1.00	 1
 0- 0	 0- 3	 2- 0	     5573.07	 6.538	1.28	 1
 0- 0	 0- 3	 2- 1	     4768.07	 2.547	1.47	 1
 0- 0	 0- 3	 2- 2	     7549.60	 4.832	0.99	 1
 0- 0	 0- 3	 3- 0	    11849.65	 3.078	0.62	 1
 0- 0	 0- 3	 3- 1	     9372.50	 3.892	0.80	 1
 0- 0	 0- 4	 1- 0	    12330.69	 2.958	0.59	 1
 0- 0	 0- 4	 1- 1	     9457.23	 1.929	0.64	 1
 0- 0	 1- 0	 0- 2	     2874.73	 1.408	1.38	 1
 0- 0	 1- 0	 1- 1	      966.63	 1.571	5.00	 5
 0- 0	 1- 0	 1- 2	     1918.45	 1.461	2.23	 2
 0- 0	 1- 0	 2- 0	     1739.67	 1.904	3.44	 3
 0- 0	 1- 0	 2- 1	     1488.38	 1.749	3.72	 4
 0- 0	 1- 0	 2- 2	     2356.65	 1.933	2.57	 3
 0- 0	 1- 0	 2- 3	     6967.74	 5.229	1.06	 1
 0- 0	 1- 0	 3- 0	     3698.94	 2.463	1.87	 2
 0- 0	 1- 0	 3- 1	     2925.68	 1.557	1.63	 2
 0- 0	 1- 0	 3- 2	     4974.44	 7.325	1.40	 1
 0- 0	 1- 0	 3- 3	    13578.82	 2.683	0.53	 1
 0- 0	 1- 0	 4- 0	     9423.94	 3.866	0.80	 1
 0- 0	 1- 0	 4- 1	     8014.37	 1.515	0.57	 1
 0- 0	 1- 0	 4- 2	    12021.56	 3.031	0.61	 1
 0- 0	 1- 1	 0- 0	     1010.33	 1.898	5.91	 6
 0- 0	 1- 1	 0- 1	     1177.58	 1.473	3.70	 4
 0- 0	 1- 1	 0- 3	     5493.70	 1.658	0.95	 1
