MatchOdds 220 260 245 235 260 230 190 275 280 260 245 1068289229
Oms 2500
MinKvot 1.350000
MinIns 0.050000
MaxNomOdds 1000000
2-7 3-4 0-0 0-0	    12621.17	    0.079232	1	  0.10	-1610612736
0-5 0-3 0-0 0-0	    12621.17	    0.079232	1	  0.10	-1610612736
4-6 5-2 0-0 0-0	    12611.42	    0.079293	1	  0.10	-1610612736
4-0 0-1 0-0 0-0	    12595.04	    0.079396	1	  0.10	-1610612736
2-6 0-1 0-0 0-0	    12587.51	    0.079444	1	  0.10	-1610612736
1-4 6-1 0-0 0-0	    12561.58	    0.079608	1	  0.10	-1610612736
2-1 7-4 0-0 0-0	    12527.19	    0.079826	1	  0.10	-1610612736
2-1 8-2 0-0 0-0	    12527.19	    0.079826	1	  0.10	-1610612736
0-4 2-6 0-0 0-0	    12520.73	    0.079868	1	  0.10	-1610612736
3-6 0-2 0-0 0-0	    12520.73	    0.079868	1	  0.10	-1610612736
3-6 1-5 0-0 0-0	    12520.73	    0.079868	1	  0.10	-1610612736
3-5 2-7 0-0 0-0	    12520.73	    0.079868	1	  0.10	-1610612736
0-1 0-2 0-0 0-0	    12520.73	    0.079868	1	  0.10	-1610612736
0-1 2-6 0-0 0-0	    12520.73	    0.079868	1	  0.10	-1610612736
3-6 2-6 0-0 0-0	    12520.73	    0.079868	1	  0.10	-1610612736
0-4 1-5 0-0 0-0	    12520.73	    0.079868	1	  0.10	-1610612736
0-1 1-5 0-0 0-0	    12520.73	    0.079868	1	  0.10	-1610612736
0-4 0-2 0-0 0-0	    12520.73	    0.079868	1	  0.10	-1610612736
6-1 5-3 0-0 0-0	    12470.51	    0.080189	1	  0.10	-1610612736
8-2 4-4 0-0 0-0	    12465.70	    0.080220	1	  0.10	-1610612736
1-5 5-3 0-0 0-0	    12463.05	    0.080237	1	  0.10	-1610612736
1-4 4-7 0-0 0-0	    12438.25	    0.080397	1	  0.10	-1610612736
1-4 4-6 0-0 0-0	    12438.25	    0.080397	1	  0.10	-1610612736
7-2 1-4 0-0 0-0	    12404.21	    0.080618	1	  0.10	-1610612736
7-2 2-5 0-0 0-0	    12404.21	    0.080618	1	  0.10	-1610612736
2-1 1-7 0-0 0-0	    12404.21	    0.080618	1	  0.10	-1610612736
3-7 1-2 0-0 0-0	    12292.49	    0.081350	1	  0.10	-1610612736
7-3 1-3 0-0 0-0	    12292.46	    0.081351	1	  0.10	-1610612736
2-0 4-5 0-0 0-0	    12274.03	    0.081473	1	  0.10	-1610612736
4-4 7-3 0-0 0-0	    12263.60	    0.081542	1	  0.10	-1610612736
