   Komb             Odds    Kvot Spelat belopp Beräknat spelbelopp
 0- 4	 1- 3	 0- 0	     4373.84	 4.002	9.77	10
 0- 4	 1- 4	 0- 0	     5587.23	 2.350	6.94	 7
 0- 4	 1- 5	 0- 0	    12371.73	 1.698	2.47	 2
 0- 4	 1- 6	 0- 0	    26243.06	 2.001	1.35	 1
 0- 4	 2- 1	 0- 0	     3716.65	 2.826	11.09	11
 0- 4	 2- 2	 0- 0	     1926.58	 4.956	21.96	22
 0- 4	 2- 3	 0- 0	     3183.90	 4.124	13.42	13
 0- 4	 2- 4	 0- 0	     4351.86	 2.682	9.34	 9
 0- 4	 2- 5	 0- 0	     6511.44	 2.689	6.25	 6
 0- 4	 2- 6	 0- 0	    16037.43	 6.550	2.54	 3
 0- 4	 2- 7	 0- 0	    39364.59	 2.668	1.03	 1
 0- 4	 3- 1	 0- 0	     4389.01	 2.991	9.50	10
 0- 4	 3- 2	 0- 0	     3372.25	 3.893	12.67	13
 0- 4	 3- 3	 0- 0	     1444.94	10.385	25.33	25
 0- 4	 3- 4	 0- 0	     6414.97	 2.729	6.37	 6
 0- 4	 3- 5	 0- 0	     7277.49	 7.217	5.49	 5
 0- 4	 3- 6	 0- 0	    16340.02	 6.428	2.50	 2
 0- 4	 3- 7	 0- 0	    54126.32	 1.941	0.64	 1
 0- 4	 4- 1	 0- 0	     5563.15	 3.147	7.56	 8
 0- 4	 4- 2	 0- 0	     4411.18	 2.646	9.18	 9
 0- 4	 4- 3	 0- 0	     7159.13	 2.445	5.51	 6
 0- 4	 4- 4	 0- 0	     2889.87	 9.087	13.12	13
 0- 4	 4- 5	 0- 0	    19682.30	 5.337	2.13	 2
 0- 4	 4- 6	 0- 0	    27936.16	 3.760	1.53	 2
 0- 4	 4- 7	 0- 0	    43301.05	 2.426	0.91	 1
 0- 4	 5- 0	 0- 0	    28174.64	 1.864	1.19	 1
 0- 4	 5- 1	 0- 0	    14803.62	 3.548	2.88	 3
 0- 4	 5- 2	 0- 0	     7339.61	 4.770	5.78	 6
 0- 4	 5- 3	 0- 0	     7798.34	 4.490	5.46	 5
 0- 4	 5- 4	 0- 0	    19850.31	 2.646	2.04	 2
 0- 4	 5- 6	 0- 0	    48112.28	 2.183	0.78	 1
 0- 4	 6- 1	 0- 0	    36392.24	 2.886	1.14	 1
 0- 4	 6- 2	 0- 0	    16174.33	 6.494	2.52	 3
 0- 4	 6- 3	 0- 0	    14803.62	 7.095	2.71	 3
 0- 4	 6- 4	 0- 0	    33592.84	 3.127	1.25	 1
 0- 4	 6- 5	 0- 0	    51377.28	 2.044	0.70	 1
 0- 4	 7- 2	 0- 0	    34936.55	 3.007	1.19	 1
 0- 4	 7- 4	 0- 0	    54588.36	 1.924	0.63	 1
 0- 5	 0- 1	 0- 0	    18826.54	 1.395	1.18	 1
 0- 5	 0- 2	 0- 0	    15206.05	 3.454	2.80	 3
 0- 5	 0- 3	 0- 0	    11404.54	 3.070	3.67	 4
 0- 5	 0- 4	 0- 0	    20808.29	 1.683	1.45	 1
 0- 5	 1- 2	 0- 0	     5318.71	 3.950	8.04	 8
 0- 5	 1- 3	 0- 0	     5990.26	 5.845	6.92	 7
 0- 5	 1- 4	 0- 0	     7652.08	 2.745	5.35	 5
 0- 5	 1- 5	 0- 0	    16943.89	 1.550	1.59	 2
 0- 5	 1- 6	 0- 0	    35941.59	 1.461	0.68	 1
 0- 5	 2- 1	 0- 0	     5090.20	 3.439	8.35	 8
 0- 5	 2- 2	 0- 0	     2638.58	 7.962	14.83	15
 0- 5	 2- 3	 0- 0	     4360.56	 6.022	9.47	 9
 0- 5	 2- 4	 0- 0	     5960.16	 4.406	7.16	 7
 0- 5	 2- 5	 0- 0	     8917.84	 2.945	4.66	 5
 0- 5	 2- 6	 0- 0	    21964.30	 4.782	1.93	 2
 0- 5	 2- 7	 0- 0	    53912.38	 1.948	0.64	 1
 0- 5	 3- 0	 0- 0	    13593.15	 1.932	2.54	 3
 0- 5	 3- 1	 0- 0	     6011.04	 4.369	7.10	 7
 0- 5	 3- 2	 0- 0	     4618.52	 5.686	9.02	 9
 0- 5	 3- 3	 0- 0	     1978.93	17.693	15.66	16
 0- 5	 3- 4	 0- 0	     8785.72	 3.985	4.87	 5
 0- 5	 3- 5	 0- 0	     9966.99	10.539	3.66	 4
 0- 5	 3- 6	 0- 0	    22378.72	 4.694	1.90	 2
 0- 5	 4- 1	 0- 0	     7619.09	 4.595	5.59	 6
 0- 5	 4- 2	 0- 0	     6041.40	 4.347	7.06	 7
 0- 5	 4- 3	 0- 0	     9804.89	 5.356	4.28	 4
 0- 5	 4- 4	 0- 0	     3957.87	13.269	8.60	 9
 0- 5	 4- 5	 0- 0	    26956.19	 3.897	1.59	 2
 0- 5	 4- 6	 0- 0	    38260.40	 2.745	1.07	 1
 0- 5	 4- 7	 0- 0	    59303.61	 1.771	0.54	 1
 0- 5	 5- 0	 0- 0	    38587.00	 2.722	1.06	 1
 0- 5	 5- 1	 0- 0	    20274.53	 5.181	2.08	 2
 0- 5	 5- 2	 0- 0	    10052.08	 5.225	4.19	 4
 0- 5	 5- 3	 0- 0	    10680.33	 4.917	3.96	 4
 0- 5	 5- 4	 0- 0	    27186.30	 3.864	1.57	 2
 0- 5	 6- 1	 0- 0	    49841.54	 2.107	0.74	 1
 0- 5	 6- 2	 0- 0	    22151.80	 4.742	1.92	 2
 0- 5	 6- 3	 0- 0	    20274.53	 5.181	2.08	 2
 0- 5	 6- 4	 0- 0	    46007.58	 2.283	0.83	 1
 0- 5	 7- 2	 0- 0	    47847.89	 2.195	0.78	 1
 0- 6	 0- 2	 0- 0	    49962.75	 2.102	0.73	 1
 0- 6	 0- 3	 0- 0	    37472.06	 2.803	1.10	 1
 0- 6	 1- 0	 0- 0	    56961.76	 1.844	0.58	 1
 0- 6	 1- 2	 0- 0	    17475.76	 6.010	2.36	 2
 0- 6	 1- 3	 0- 0	    19682.29	 5.337	2.13	 2
 0- 6	 1- 4	 0- 0	    25142.54	 4.178	1.70	 2
 0- 6	 1- 5	 0- 0	    55672.78	 1.887	0.61	 1
 0- 6	 2- 0	 0- 0	    52404.82	 2.004	0.68	 1
 0- 6	 2- 1	 0- 0	    16724.94	 6.280	2.45	 2
 0- 6	 2- 2	 0- 0	     8669.62	12.116	4.04	 4
 0- 6	 2- 3	 0- 0	    14327.55	 7.331	2.78	 3
 0- 6	 2- 4	 0- 0	    19583.39	 5.364	2.14	 2
 0- 6	 2- 5	 0- 0	    29301.46	 3.585	1.45	 1
 0- 6	 3- 0	 0- 0	    44663.20	 2.352	0.87	 1
 0- 6	 3- 1	 0- 0	    19750.56	 5.318	2.13	 2
 0- 6	 3- 2	 0- 0	    15175.14	 6.922	2.66	 3
 0- 6	 3- 3	 0- 0	     6502.21	16.154	4.92	 5
 0- 6	 3- 4	 0- 0	    28867.37	 3.639	1.48	 1
 0- 6	 3- 5	 0- 0	    32748.69	 3.207	1.29	 1
 0- 6	 4- 1	 0- 0	    25034.15	 4.196	1.71	 2
 0- 6	 4- 2	 0- 0	    19850.31	 5.291	2.12	 2
 0- 6	 4- 3	 0- 0	    32216.08	 3.260	1.31	 1
 0- 6	 4- 4	 0- 0	    13004.43	 8.077	3.00	 3
 0- 6	 5- 2	 0- 0	    33028.25	 3.180	1.28	 1
 0- 6	 5- 3	 0- 0	    35092.51	 2.993	1.19	 1
 0- 7	 1- 2	 0- 0	    61165.16	 1.717	0.51	 1
 0- 7	 2- 1	 0- 0	    58537.30	 1.794	0.55	 1
 0- 7	 2- 2	 0- 0	    30343.67	 3.462	1.40	 1
 0- 7	 2- 3	 0- 0	    50146.44	 2.095	0.73	 1
 0- 7	 3- 2	 0- 0	    53113.00	 1.978	0.66	 1
 0- 7	 3- 3	 0- 0	    22757.75	 4.615	1.87	 2
 0- 7	 4- 4	 0- 0	    45515.50	 2.308	0.85	 1
 0- 8	 2- 2	 0- 0	    60687.33	 1.731	0.51	 1
 0- 8	 3- 3	 0- 0	    45515.50	 2.308	0.85	 1
 1- 0	 0- 1	 0- 0	    11798.53	 1.484	2.13	 2
 1- 0	 0- 2	 0- 0	     9529.58	 1.837	3.47	 3
 1- 0	 0- 3	 0- 0	     7147.19	 3.674	5.97	 6
 1- 0	 0- 4	 0- 0	    13040.48	 1.611	2.19	 2
 1- 0	 0- 5	 0- 0	    24776.91	 1.413	0.92	 1
 1- 0	 1- 0	 0- 0	    10864.53	 1.934	3.18	 3
 1- 0	 1- 2	 0- 0	     3333.22	 5.252	12.62	13
 1- 0	 1- 3	 0- 0	     3754.08	 4.663	11.33	11
 1- 0	 1- 4	 0- 0	     4795.53	 3.651	8.90	 9
 1- 0	 1- 5	 0- 0	    10618.68	 2.473	3.73	 4
 1- 0	 1- 6	 0- 0	    22524.47	 2.332	1.72	 2
 1- 0	 2- 0	 0- 0	     9995.37	 1.751	3.16	 3
 1- 0	 2- 1	 0- 0	     3190.01	 4.704	13.32	13
 1- 0	 2- 2	 0- 0	     1653.59	10.587	22.01	22
 1- 0	 2- 3	 0- 0	     2732.75	 6.406	14.95	15
 1- 0	 2- 4	 0- 0	     3735.21	 4.017	11.45	11
 1- 0	 2- 5	 0- 0	     5588.78	 3.132	7.52	 8
 1- 0	 2- 6	 0- 0	    13764.95	 7.631	2.87	 3
 1- 0	 2- 7	 0- 0	    33786.70	 3.109	1.24	 1
 1- 0	 2- 8	 0- 0	    53093.39	 1.978	0.66	 1
 1- 0	 3- 0	 0- 0	     8518.78	 2.055	4.23	 4
 1- 0	 3- 1	 0- 0	     3767.10	 4.647	11.29	11
 1- 0	 3- 2	 0- 0	     2894.41	 9.072	13.10	13
 1- 0	 3- 3	 0- 0	     1240.19	21.174	23.45	23
 1- 0	 3- 4	 0- 0	     5505.98	 4.769	7.71	 8
 1- 0	 3- 5	 0- 0	     6246.28	16.816	5.05	 5
 1- 0	 3- 6	 0- 0	    14024.67	 7.489	2.83	 3
 1- 0	 3- 7	 0- 0	    46456.71	 2.261	0.82	 1
 1- 0	 4- 0	 0- 0	    18284.21	 1.915	1.87	 2
 1- 0	 4- 1	 0- 0	     4774.86	 5.499	8.76	 9
 1- 0	 4- 2	 0- 0	     3786.12	 6.936	10.64	11
 1- 0	 4- 3	 0- 0	     6144.69	 4.273	6.95	 7
 1- 0	 4- 4	 0- 0	     2480.38	21.174	11.73	12
 1- 0	 4- 5	 0- 0	    16893.35	 3.109	2.48	 2
 1- 0	 4- 6	 0- 0	    23977.66	 4.381	1.78	 2
 1- 0	 4- 7	 0- 0	    37165.37	 2.826	1.11	 1
 1- 0	 5- 0	 0- 0	    24182.34	 4.344	1.76	 2
 1- 0	 5- 1	 0- 0	    12705.98	 8.267	3.05	 3
 1- 0	 5- 2	 0- 0	     6299.60	16.674	5.02	 5
 1- 0	 5- 3	 0- 0	     6693.33	15.693	4.82	 5
 1- 0	 5- 4	 0- 0	    17037.56	 2.055	2.12	 2
 1- 0	 5- 6	 0- 0	    41294.86	 2.544	0.97	 1
 1- 0	 6- 1	 0- 0	    31235.53	 3.363	1.36	 1
 1- 0	 6- 2	 0- 0	    13882.46	 7.566	2.85	 3
