   Komb             Odds    Kvot Spelat belopp Beräknat spelbelopp
 0- 0	 2- 0	 1- 4	    37460.61	Ej Spelad	1.00	 1
 0- 0	 2- 0	 1- 5	   126700.63	Ej Spelad	1.00	 1
 0- 0	 2- 0	 2- 0	     1213.64	Ej Spelad	1.00	 1
 0- 0	 2- 0	 2- 1	     1388.02	Ej Spelad	1.00	 1
 0- 0	 2- 0	 2- 2	     3719.94	Ej Spelad	1.00	 1
 0- 0	 2- 0	 2- 3	    15103.22	Ej Spelad	1.00	 1
 0- 0	 2- 0	 2- 4	    23502.74	Ej Spelad	1.00	 1
 0- 0	 2- 0	 3- 0	     5257.62	Ej Spelad	1.00	 1
 0- 0	 2- 0	 3- 1	     5603.99	Ej Spelad	1.00	 1
 0- 0	 2- 0	 3- 2	    10588.64	Ej Spelad	1.00	 1
 0- 0	 2- 0	 3- 3	    37527.64	Ej Spelad	1.00	 1
 0- 0	 2- 0	 3- 4	   247674.47	Ej Spelad	1.00	 1
 0- 0	 2- 0	 4- 0	    33645.29	Ej Spelad	1.00	 1
 0- 0	 2- 0	 4- 1	    30606.69	Ej Spelad	1.00	 1
 0- 0	 2- 0	 4- 2	    63126.39	Ej Spelad	1.00	 1
 0- 0	 2- 0	 4- 3	   121128.92	Ej Spelad	1.00	 1
 0- 0	 2- 0	 5- 0	   102949.66	Ej Spelad	1.00	 1
 0- 0	 2- 0	 5- 1	   166336.22	Ej Spelad	1.00	 1
 0- 0	 2- 0	 5- 2	   259762.42	Ej Spelad	1.00	 1
 0- 0	 2- 1	 0- 0	      768.59	Ej Spelad	1.00	 1
 0- 0	 2- 1	 0- 1	      580.71	Ej Spelad	1.00	 1
 0- 0	 2- 1	 0- 2	     2415.92	Ej Spelad	1.00	 1
 0- 0	 2- 1	 0- 3	     6515.69	Ej Spelad	1.00	 1
 0- 0	 2- 1	 0- 4	    25190.25	Ej Spelad	1.00	 1
 0- 0	 2- 1	 0- 5	   157056.98	Ej Spelad	1.00	 1
 0- 0	 2- 1	 1- 0	      869.54	Ej Spelad	1.00	 1
 0- 0	 2- 1	 1- 1	     1058.43	Ej Spelad	1.00	 1
 0- 0	 2- 1	 1- 2	      870.51	Ej Spelad	1.00	 1
 0- 0	 2- 1	 1- 3	     9356.03	Ej Spelad	1.00	 1
 0- 0	 2- 1	 1- 4	    25365.48	Ej Spelad	1.00	 1
 0- 0	 2- 1	 1- 5	   140410.48	Ej Spelad	1.00	 1
 0- 0	 2- 1	 2- 0	     1387.99	Ej Spelad	1.00	 1
 0- 0	 2- 1	 2- 1	     1861.59	Ej Spelad	1.00	 1
 0- 0	 2- 1	 2- 2	     5040.71	Ej Spelad	1.00	 1
 0- 0	 2- 1	 2- 3	     5879.28	Ej Spelad	1.00	 1
 0- 0	 2- 1	 2- 4	   102938.81	Ej Spelad	1.00	 1
 0- 0	 2- 1	 3- 0	     5611.48	Ej Spelad	1.00	 1
 0- 0	 2- 1	 3- 1	     5293.53	Ej Spelad	1.00	 1
 0- 0	 2- 1	 3- 2	    12516.98	Ej Spelad	1.00	 1
 0- 0	 2- 1	 3- 3	    61973.71	Ej Spelad	1.00	 1
 0- 0	 2- 1	 4- 0	    30563.24	Ej Spelad	1.00	 1
 0- 0	 2- 1	 4- 1	    31536.98	Ej Spelad	1.00	 1
 0- 0	 2- 1	 4- 2	    40394.05	Ej Spelad	1.00	 1
 0- 0	 2- 1	 4- 3	   128574.86	Ej Spelad	1.00	 1
 0- 0	 2- 1	 5- 0	   166485.28	Ej Spelad	1.00	 1
 0- 0	 2- 1	 5- 1	   129774.63	Ej Spelad	1.00	 1
 0- 0	 2- 1	 5- 2	   324676.88	Ej Spelad	1.00	 1
 0- 0	 2- 2	 0- 0	     1160.73	Ej Spelad	1.00	 1
 0- 0	 2- 2	 0- 1	     2414.79	Ej Spelad	1.00	 1
 0- 0	 2- 2	 0- 2	     4339.98	Ej Spelad	1.00	 1
 0- 0	 2- 2	 0- 3	    12604.41	Ej Spelad	1.00	 1
 0- 0	 2- 2	 0- 4	    62724.14	Ej Spelad	1.00	 1
 0- 0	 2- 2	 0- 5	   396538.47	Ej Spelad	1.00	 1
 0- 0	 2- 2	 1- 0	     2115.79	Ej Spelad	1.00	 1
 0- 0	 2- 2	 1- 1	      870.55	Ej Spelad	1.00	 1
 0- 0	 2- 2	 1- 2	     6236.64	Ej Spelad	1.00	 1
 0- 0	 2- 2	 1- 3	    12689.57	Ej Spelad	1.00	 1
 0- 0	 2- 2	 1- 4	    56116.25	Ej Spelad	1.00	 1
 0- 0	 2- 2	 2- 0	     3718.95	Ej Spelad	1.00	 1
 0- 0	 2- 2	 2- 1	     5033.16	Ej Spelad	1.00	 1
 0- 0	 2- 2	 2- 2	     3919.54	Ej Spelad	1.00	 1
