   Komb             Odds    Kvot Spelat belopp Beräknat spelbelopp
 1- 3	 1- 1	 3- 0	    30968.03	Ej Spelad	1.00	 1
 1- 3	 1- 1	 3- 2	   104243.27	Ej Spelad	1.00	 1
 1- 3	 1- 1	 3- 3	   201021.00	Ej Spelad	1.00	 1
 1- 3	 1- 1	 4- 0	    64288.98	Ej Spelad	1.00	 1
 1- 3	 1- 1	 4- 1	   127633.23	Ej Spelad	1.00	 1
 1- 3	 1- 1	 5- 0	   243483.86	Ej Spelad	1.00	 1
 1- 3	 1- 1	 5- 1	   273590.44	Ej Spelad	1.00	 1
 1- 3	 1- 2	 0- 0	     6299.44	Ej Spelad	1.00	 1
 1- 3	 1- 2	 0- 1	     7844.02	Ej Spelad	1.00	 1
 1- 3	 1- 2	 0- 2	    19839.41	Ej Spelad	1.00	 1
 1- 3	 1- 2	 0- 3	    44628.67	Ej Spelad	1.00	 1
 1- 3	 1- 2	 1- 0	     6338.72	Ej Spelad	1.00	 1
 1- 3	 1- 2	 1- 1	     7011.90	Ej Spelad	1.00	 1
 1- 3	 1- 2	 1- 2	    24810.57	Ej Spelad	1.00	 1
 1- 3	 1- 2	 1- 3	   111595.23	Ej Spelad	1.00	 1
 1- 3	 1- 2	 2- 0	    25726.00	Ej Spelad	1.00	 1
 1- 3	 1- 2	 2- 1	    21051.76	Ej Spelad	1.00	 1
 1- 3	 1- 2	 2- 2	    59511.68	Ej Spelad	1.00	 1
 1- 3	 1- 2	 2- 3	   167429.14	Ej Spelad	1.00	 1
 1- 3	 1- 2	 3- 1	   104225.95	Ej Spelad	1.00	 1
 1- 3	 1- 2	 3- 2	   133984.92	Ej Spelad	1.00	 1
 1- 3	 1- 2	 4- 0	   255720.42	Ej Spelad	1.00	 1
 1- 3	 1- 3	 0- 0	    23540.46	Ej Spelad	1.00	 1
 1- 3	 1- 3	 0- 1	    29751.19	Ej Spelad	1.00	 1
 1- 3	 1- 3	 0- 2	    44646.97	Ej Spelad	1.00	 1
 1- 3	 1- 3	 1- 0	    21043.15	Ej Spelad	1.00	 1
 1- 3	 1- 3	 1- 1	    37195.47	Ej Spelad	1.00	 1
 1- 3	 1- 3	 1- 2	   111649.63	Ej Spelad	1.00	 1
 1- 3	 1- 3	 2- 0	    63121.78	Ej Spelad	1.00	 1
 1- 3	 1- 3	 2- 1	    89283.66	Ej Spelad	1.00	 1
 1- 3	 1- 3	 2- 2	   167424.05	Ej Spelad	1.00	 1
 1- 3	 1- 3	 3- 0	   312601.41	Ej Spelad	1.00	 1
 1- 3	 1- 3	 3- 1	   200907.44	Ej Spelad	1.00	 1
 1- 3	 1- 4	 0- 0	   119132.20	Ej Spelad	1.00	 1
 1- 3	 1- 4	 0- 1	    89342.68	Ej Spelad	1.00	 1
 1- 3	 1- 4	 1- 0	   148629.45	Ej Spelad	1.00	 1
 1- 3	 1- 4	 1- 1	   223091.28	Ej Spelad	1.00	 1
 1- 3	 1- 4	 2- 0	   357196.31	Ej Spelad	1.00	 1
 1- 3	 1- 4	 2- 1	   334930.88	Ej Spelad	1.00	 1
 1- 3	 2- 0	 0- 0	     2611.52	Ej Spelad	1.00	 1
 1- 3	 2- 0	 0- 1	     9348.50	Ej Spelad	1.00	 1
 1- 3	 2- 0	 0- 2	    12687.88	Ej Spelad	1.00	 1
 1- 3	 2- 0	 0- 3	    42099.83	Ej Spelad	1.00	 1
 1- 3	 2- 0	 0- 4	   297544.75	Ej Spelad	1.00	 1
 1- 3	 2- 0	 1- 0	     7553.22	Ej Spelad	1.00	 1
 1- 3	 2- 0	 1- 1	     2939.31	Ej Spelad	1.00	 1
 1- 3	 2- 0	 1- 2	    25720.50	Ej Spelad	1.00	 1
 1- 3	 2- 0	 1- 3	    63175.80	Ej Spelad	1.00	 1
 1- 3	 2- 0	 1- 4	   357923.13	Ej Spelad	1.00	 1
 1- 3	 2- 0	 2- 0	    12508.76	Ej Spelad	1.00	 1
 1- 3	 2- 0	 2- 1	    20646.51	Ej Spelad	1.00	 1
 1- 3	 2- 0	 2- 3	   208425.09	Ej Spelad	1.00	 1
 1- 3	 2- 0	 3- 0	    30280.38	Ej Spelad	1.00	 1
 1- 3	 2- 0	 3- 1	    32142.03	Ej Spelad	1.00	 1
 1- 3	 2- 0	 3- 2	   127870.45	Ej Spelad	1.00	 1
 1- 3	 2- 0	 4- 0	   194442.36	Ej Spelad	1.00	 1
 1- 3	 2- 0	 4- 1	    97368.04	Ej Spelad	1.00	 1
 1- 3	 2- 0	 4- 2	   219148.38	Ej Spelad	1.00	 1
 1- 3	 2- 1	 0- 0	     9348.27	Ej Spelad	1.00	 1
 1- 3	 2- 1	 0- 1	     6340.46	Ej Spelad	1.00	 1
 1- 3	 2- 1	 0- 2	    14035.31	Ej Spelad	1.00	 1
 1- 3	 2- 1	 0- 3	    74397.88	Ej Spelad	1.00	 1
 1- 3	 2- 1	 1- 0	     2937.18	Ej Spelad	1.00	 1
 1- 3	 2- 1	 1- 1	    12854.82	Ej Spelad	1.00	 1
 1- 3	 2- 1	 1- 2	    21050.79	Ej Spelad	1.00	 1
 1- 3	 2- 1	 1- 3	    89311.59	Ej Spelad	1.00	 1
 1- 3	 2- 1	 1- 4	   334891.69	Ej Spelad	1.00	 1
 1- 3	 2- 1	 2- 0	    20647.51	Ej Spelad	1.00	 1
 1- 3	 2- 1	 2- 2	    69428.38	Ej Spelad	1.00	 1
 1- 3	 2- 1	 2- 3	   133922.42	Ej Spelad	1.00	 1
 1- 3	 2- 1	 3- 0	    32125.44	Ej Spelad	1.00	 1
 1- 3	 2- 1	 3- 1	    63904.75	Ej Spelad	1.00	 1
 1- 3	 2- 1	 4- 0	    97256.85	Ej Spelad	1.00	 1
 1- 3	 2- 1	 4- 1	   109636.09	Ej Spelad	1.00	 1
 1- 3	 2- 2	 0- 0	    12680.51	Ej Spelad	1.00	 1
 1- 3	 2- 2	 0- 1	    14023.32	Ej Spelad	1.00	 1
 1- 3	 2- 2	 0- 2	    49581.60	Ej Spelad	1.00	 1
 1- 3	 2- 2	 0- 3	   223213.02	Ej Spelad	1.00	 1
 1- 3	 2- 2	 1- 0	    25732.76	Ej Spelad	1.00	 1
 1- 3	 2- 2	 1- 1	    21036.13	Ej Spelad	1.00	 1
 1- 3	 2- 2	 1- 2	    59522.77	Ej Spelad	1.00	 1
 1- 3	 2- 2	 1- 3	   167336.75	Ej Spelad	1.00	 1
 1- 3	 2- 2	 2- 1	    69456.30	Ej Spelad	1.00	 1
 1- 3	 2- 2	 2- 2	    89304.09	Ej Spelad	1.00	 1
 1- 3	 2- 2	 2- 3	   267695.41	Ej Spelad	1.00	 1
 1- 3	 2- 2	 3- 0	   127697.89	Ej Spelad	1.00	 1
 1- 3	 2- 2	 3- 3	   241041.92	Ej Spelad	1.00	 1
 1- 3	 2- 2	 4- 0	   218790.86	Ej Spelad	1.00	 1
 1- 3	 2- 3	 0- 0	    42092.62	Ej Spelad	1.00	 1
 1- 3	 2- 3	 0- 1	    74423.70	Ej Spelad	1.00	 1
 1- 3	 2- 3	 0- 2	   223118.23	Ej Spelad	1.00	 1
 1- 3	 2- 3	 1- 0	    63068.19	Ej Spelad	1.00	 1
 1- 3	 2- 3	 1- 1	    89240.30	Ej Spelad	1.00	 1
 1- 3	 2- 3	 1- 2	   167451.86	Ej Spelad	1.00	 1
 1- 3	 2- 3	 2- 0	   208331.61	Ej Spelad	1.00	 1
 1- 3	 2- 3	 2- 1	   133863.81	Ej Spelad	1.00	 1
 1- 3	 2- 3	 2- 2	   267948.19	Ej Spelad	1.00	 1
 1- 3	 2- 3	 3- 2	   241105.08	Ej Spelad	1.00	 1
 1- 3	 2- 4	 0- 0	   297958.03	Ej Spelad	1.00	 1
 1- 3	 2- 4	 1- 0	   356741.56	Ej Spelad	1.00	 1
 1- 3	 2- 4	 1- 1	   334799.88	Ej Spelad	1.00	 1
 1- 3	 3- 0	 0- 0	    22650.36	Ej Spelad	1.00	 1
 1- 3	 3- 0	 0- 1	     8813.51	Ej Spelad	1.00	 1
 1- 3	 3- 0	 0- 2	    77225.37	Ej Spelad	1.00	 1
 1- 3	 3- 0	 0- 3	   189385.69	Ej Spelad	1.00	 1
 1- 3	 3- 0	 1- 0	    18761.71	Ej Spelad	1.00	 1
 1- 3	 3- 0	 1- 1	    30961.26	Ej Spelad	1.00	 1
 1- 3	 3- 0	 1- 3	   312627.28	Ej Spelad	1.00	 1
 1- 3	 3- 0	 2- 0	    30265.13	Ej Spelad	1.00	 1
 1- 3	 3- 0	 2- 1	    32155.63	Ej Spelad	1.00	 1
 1- 3	 3- 0	 2- 2	   127621.08	Ej Spelad	1.00	 1
 1- 3	 3- 0	 3- 0	   146084.30	Ej Spelad	1.00	 1
 1- 3	 3- 0	 3- 1	    73039.58	Ej Spelad	1.00	 1
 1- 3	 3- 0	 3- 2	   164329.55	Ej Spelad	1.00	 1
 1- 3	 3- 1	 0- 0	     8816.12	Ej Spelad	1.00	 1
 1- 3	 3- 1	 0- 1	    38576.76	Ej Spelad	1.00	 1
 1- 3	 3- 1	 0- 2	    63171.06	Ej Spelad	1.00	 1
 1- 3	 3- 1	 0- 3	   268193.03	Ej Spelad	1.00	 1
 1- 3	 3- 1	 1- 0	    30965.40	Ej Spelad	1.00	 1
 1- 3	 3- 1	 1- 2	   104192.11	Ej Spelad	1.00	 1
 1- 3	 3- 1	 1- 3	   200798.27	Ej Spelad	1.00	 1
 1- 3	 3- 1	 2- 0	    32123.01	Ej Spelad	1.00	 1
 1- 3	 3- 1	 2- 1	    63846.47	Ej Spelad	1.00	 1
 1- 3	 3- 1	 3- 0	    72988.63	Ej Spelad	1.00	 1
 1- 3	 3- 1	 3- 1	    82152.27	Ej Spelad	1.00	 1
 1- 3	 3- 2	 0- 0	    77115.69	Ej Spelad	1.00	 1
 1- 3	 3- 2	 0- 1	    63117.09	Ej Spelad	1.00	 1
 1- 3	 3- 2	 0- 2	   178618.31	Ej Spelad	1.00	 1
 1- 3	 3- 2	 1- 1	   104134.32	Ej Spelad	1.00	 1
 1- 3	 3- 2	 1- 2	   133901.22	Ej Spelad	1.00	 1
 1- 3	 3- 2	 2- 0	   127607.98	Ej Spelad	1.00	 1
 1- 3	 3- 2	 2- 3	   240819.19	Ej Spelad	1.00	 1
 1- 3	 3- 2	 3- 0	   164237.97	Ej Spelad	1.00	 1
 1- 3	 3- 3	 0- 0	   189685.70	Ej Spelad	1.00	 1
 1- 3	 3- 3	 0- 1	   267818.03	Ej Spelad	1.00	 1
 1- 3	 3- 3	 1- 0	   311891.94	Ej Spelad	1.00	 1
 1- 3	 3- 3	 1- 1	   200754.00	Ej Spelad	1.00	 1
 1- 3	 3- 3	 2- 2	   241029.67	Ej Spelad	1.00	 1
 1- 3	 4- 0	 0- 0	    75061.88	Ej Spelad	1.00	 1
 1- 3	 4- 0	 0- 1	   123907.95	Ej Spelad	1.00	 1
 1- 3	 4- 0	 1- 0	    60520.97	Ej Spelad	1.00	 1
 1- 3	 4- 0	 1- 1	    64247.62	Ej Spelad	1.00	 1
 1- 3	 4- 0	 1- 2	   255546.55	Ej Spelad	1.00	 1
 1- 3	 4- 0	 2- 0	   194778.64	Ej Spelad	1.00	 1
 1- 3	 4- 0	 2- 1	    97254.68	Ej Spelad	1.00	 1
 1- 3	 4- 0	 2- 2	   218985.77	Ej Spelad	1.00	 1
 1- 3	 4- 1	 0- 0	   123856.50	Ej Spelad	1.00	 1
 1- 3	 4- 1	 1- 0	    64260.61	Ej Spelad	1.00	 1
 1- 3	 4- 1	 1- 1	   127817.00	Ej Spelad	1.00	 1
 1- 3	 4- 1	 2- 0	    97424.41	Ej Spelad	1.00	 1
 1- 3	 4- 1	 2- 1	   109531.09	Ej Spelad	1.00	 1
 1- 3	 4- 2	 1- 0	   255115.27	Ej Spelad	1.00	 1
 1- 3	 4- 2	 2- 0	   219046.75	Ej Spelad	1.00	 1
 1- 3	 5- 0	 0- 0	   302202.78	Ej Spelad	1.00	 1
 1- 3	 5- 0	 0- 1	   322642.56	Ej Spelad	1.00	 1
 1- 3	 5- 0	 1- 1	   243372.41	Ej Spelad	1.00	 1
 1- 3	 5- 1	 0- 0	   321122.59	Ej Spelad	1.00	 1
 1- 3	 5- 1	 1- 0	   242906.86	Ej Spelad	1.00	 1
 1- 3	 5- 1	 1- 1	   273424.97	Ej Spelad	1.00	 1
 1- 4	 0- 0	 0- 0	     9982.38	 7.387	6.99	 7
 1- 4	 0- 0	 0- 1	    18698.15	 3.944	4.01	 4
 1- 4	 0- 0	 1- 0	    13031.71	 5.659	5.61	 6
 1- 4	 0- 0	 1- 1	    12598.76	 5.853	5.77	 6
 1- 4	 0- 0	 2- 0	    37411.72	 1.971	1.64	 2
 1- 4	 0- 0	 2- 1	    25342.25	 2.910	2.87	 3
 1- 4	 0- 0	 3- 0	    35234.29	 2.093	1.82	 2
 1- 4	 0- 1	 0- 0	    18720.15	 3.939	4.01	 4
 1- 4	 0- 1	 0- 1	    24690.34	 2.987	2.96	 3
 1- 4	 0- 1	 1- 0	    12587.20	 2.929	5.79	 6
 1- 4	 0- 2	 1- 0	    31373.58	 2.350	2.17	 2
 1- 4	 1- 0	 0- 0	    13005.64	Ej Spelad	1.00	 1
 1- 4	 1- 0	 0- 1	    12603.20	Ej Spelad	1.00	 1
 1- 4	 1- 0	 0- 2	    31372.16	Ej Spelad	1.00	 1
 1- 4	 1- 0	 0- 3	   118994.19	Ej Spelad	1.00	 1
 1- 4	 1- 0	 0- 4	   357266.69	Ej Spelad	1.00	 1
 1- 4	 1- 0	 1- 0	    18705.95	Ej Spelad	1.00	 1
 1- 4	 1- 0	 1- 1	    12676.24	Ej Spelad	1.00	 1
 1- 4	 1- 0	 1- 2	    28033.53	Ej Spelad	1.00	 1
 1- 4	 1- 0	 1- 3	   148945.84	Ej Spelad	1.00	 1
 1- 4	 1- 0	 2- 0	    11752.65	Ej Spelad	1.00	 1
 1- 4	 1- 0	 2- 1	    51420.09	Ej Spelad	1.00	 1
 1- 4	 1- 0	 2- 2	    84203.90	Ej Spelad	1.00	 1
 1- 4	 1- 0	 2- 3	   357376.47	Ej Spelad	1.00	 1
 1- 4	 1- 0	 3- 0	   124052.56	Ej Spelad	1.00	 1
 1- 4	 1- 0	 4- 0	   256525.95	Ej Spelad	1.00	 1
 1- 4	 1- 1	 0- 0	    12596.52	Ej Spelad	1.00	 1
 1- 4	 1- 1	 0- 1	    15695.08	Ej Spelad	1.00	 1
 1- 4	 1- 1	 0- 2	    39679.60	Ej Spelad	1.00	 1
 1- 4	 1- 1	 0- 3	    89306.98	Ej Spelad	1.00	 1
 1- 4	 1- 1	 1- 0	    12682.41	Ej Spelad	1.00	 1
 1- 4	 1- 1	 1- 1	    14025.84	Ej Spelad	1.00	 1
 1- 4	 1- 1	 1- 2	    49561.11	Ej Spelad	1.00	 1
 1- 4	 1- 1	 1- 3	   223260.30	Ej Spelad	1.00	 1
 1- 4	 1- 1	 2- 0	    51420.22	Ej Spelad	1.00	 1
 1- 4	 1- 1	 2- 1	    42066.80	Ej Spelad	1.00	 1
 1- 4	 1- 1	 2- 2	   119035.87	Ej Spelad	1.00	 1
 1- 4	 1- 1	 2- 3	   335028.72	Ej Spelad	1.00	 1
 1- 4	 1- 1	 3- 1	   208258.70	Ej Spelad	1.00	 1
 1- 4	 1- 1	 3- 2	   267581.91	Ej Spelad	1.00	 1
 1- 4	 1- 2	 0- 0	    31391.01	Ej Spelad	1.00	 1
 1- 4	 1- 2	 0- 1	    39671.88	Ej Spelad	1.00	 1
 1- 4	 1- 2	 0- 2	    59516.56	Ej Spelad	1.00	 1
 1- 4	 1- 2	 1- 0	    28058.00	Ej Spelad	1.00	 1
 1- 4	 1- 2	 1- 1	    49603.83	Ej Spelad	1.00	 1
 1- 4	 1- 2	 1- 2	   148826.64	Ej Spelad	1.00	 1
 1- 4	 1- 2	 2- 0	    84147.45	Ej Spelad	1.00	 1
 1- 4	 1- 2	 2- 1	   119128.26	Ej Spelad	1.00	 1
 1- 4	 1- 2	 2- 2	   223108.55	Ej Spelad	1.00	 1
 1- 4	 1- 2	 3- 1	   268031.00	Ej Spelad	1.00	 1
 1- 4	 1- 3	 0- 0	   119006.42	Ej Spelad	1.00	 1
 1- 4	 1- 3	 0- 1	    89224.13	Ej Spelad	1.00	 1
 1- 4	 1- 3	 1- 0	   148943.58	Ej Spelad	1.00	 1
 1- 4	 1- 3	 1- 1	   223345.92	Ej Spelad	1.00	 1
 1- 4	 1- 3	 2- 0	   357546.69	Ej Spelad	1.00	 1
 1- 4	 1- 3	 2- 1	   334896.59	Ej Spelad	1.00	 1
 1- 4	 1- 4	 0- 0	   356980.22	Ej Spelad	1.00	 1
 1- 4	 2- 0	 0- 0	    37448.39	Ej Spelad	1.00	 1
 1- 4	 2- 0	 0- 1	    25361.32	Ej Spelad	1.00	 1
 1- 4	 2- 0	 0- 2	    56103.62	Ej Spelad	1.00	 1
 1- 4	 2- 0	 0- 3	   297478.38	Ej Spelad	1.00	 1
 1- 4	 2- 0	 1- 0	    11750.84	Ej Spelad	1.00	 1
 1- 4	 2- 0	 1- 1	    51447.99	Ej Spelad	1.00	 1
 1- 4	 2- 0	 1- 2	    84121.16	Ej Spelad	1.00	 1
 1- 4	 2- 0	 1- 3	   357022.69	Ej Spelad	1.00	 1
 1- 4	 2- 0	 2- 0	    82500.80	Ej Spelad	1.00	 1
 1- 4	 2- 0	 2- 2	   277737.09	Ej Spelad	1.00	 1
 1- 4	 2- 0	 3- 0	   128435.77	Ej Spelad	1.00	 1
 1- 4	 2- 0	 3- 1	   255512.59	Ej Spelad	1.00	 1
 1- 4	 2- 0	 4- 0	   388872.72	Ej Spelad	1.00	 1
 1- 4	 2- 1	 0- 0	    25387.64	Ej Spelad	1.00	 1
 1- 4	 2- 1	 0- 1	    28069.33	Ej Spelad	1.00	 1
 1- 4	 2- 1	 0- 2	    99150.00	Ej Spelad	1.00	 1
 1- 4	 2- 1	 1- 0	    51412.39	Ej Spelad	1.00	 1
 1- 4	 2- 1	 1- 1	    42052.97	Ej Spelad	1.00	 1
 1- 4	 2- 1	 1- 2	   119049.67	Ej Spelad	1.00	 1
 1- 4	 2- 1	 1- 3	   334899.34	Ej Spelad	1.00	 1
 1- 4	 2- 1	 2- 1	   138921.89	Ej Spelad	1.00	 1
 1- 4	 2- 1	 2- 2	   178366.64	Ej Spelad	1.00	 1
 1- 4	 2- 1	 3- 0	   255256.17	Ej Spelad	1.00	 1
 1- 4	 2- 2	 0- 0	    56105.78	Ej Spelad	1.00	 1
 1- 4	 2- 2	 0- 1	    99157.23	Ej Spelad	1.00	 1
 1- 4	 2- 2	 0- 2	   297590.31	Ej Spelad	1.00	 1
 1- 4	 2- 2	 1- 0	    84254.13	Ej Spelad	1.00	 1
 1- 4	 2- 2	 1- 1	   119087.87	Ej Spelad	1.00	 1
 1- 4	 2- 2	 1- 2	   223177.69	Ej Spelad	1.00	 1
 1- 4	 2- 2	 2- 0	   277648.06	Ej Spelad	1.00	 1
 1- 4	 2- 2	 2- 1	   178553.44	Ej Spelad	1.00	 1
 1- 4	 2- 2	 2- 2	   357034.97	Ej Spelad	1.00	 1
 1- 4	 2- 2	 3- 2	   321414.84	Ej Spelad	1.00	 1
 1- 4	 2- 3	 0- 0	   297333.47	Ej Spelad	1.00	 1
 1- 4	 2- 3	 1- 0	   356836.16	Ej Spelad	1.00	 1
 1- 4	 2- 3	 1- 1	   334848.81	Ej Spelad	1.00	 1
 1- 4	 3- 0	 0- 0	    35338.82	Ej Spelad	1.00	 1
 1- 4	 3- 0	 0- 1	   154535.56	Ej Spelad	1.00	 1
 1- 4	 3- 0	 0- 2	   253100.11	Ej Spelad	1.00	 1
 1- 4	 3- 0	 1- 0	   123903.80	Ej Spelad	1.00	 1
 1- 4	 3- 0	 2- 0	   128691.42	Ej Spelad	1.00	 1
 1- 4	 3- 0	 2- 1	   255540.08	Ej Spelad	1.00	 1
 1- 4	 3- 0	 3- 0	   292587.88	Ej Spelad	1.00	 1
 1- 4	 3- 0	 3- 1	   328176.31	Ej Spelad	1.00	 1
 1- 4	 3- 1	 0- 0	   154281.52	Ej Spelad	1.00	 1
 1- 4	 3- 1	 0- 1	   126147.79	Ej Spelad	1.00	 1
 1- 4	 3- 1	 0- 2	   357082.91	Ej Spelad	1.00	 1
 1- 4	 3- 1	 1- 1	   208169.73	Ej Spelad	1.00	 1
 1- 4	 3- 1	 1- 2	   268138.09	Ej Spelad	1.00	 1
 1- 4	 3- 1	 2- 0	   255789.22	Ej Spelad	1.00	 1
 1- 4	 3- 1	 3- 0	   328861.09	Ej Spelad	1.00	 1
 1- 4	 3- 2	 0- 0	   252396.34	Ej Spelad	1.00	 1
 1- 4	 3- 2	 0- 1	   357452.34	Ej Spelad	1.00	 1
 1- 4	 3- 2	 1- 1	   267872.34	Ej Spelad	1.00	 1
 1- 4	 3- 2	 2- 2	   321366.00	Ej Spelad	1.00	 1
 1- 4	 4- 0	 1- 0	   257831.52	Ej Spelad	1.00	 1
 1- 4	 4- 0	 2- 0	   388741.00	Ej Spelad	1.00	 1
 1- 5	 1- 0	 0- 0	    63103.60	Ej Spelad	1.00	 1
 1- 5	 1- 0	 0- 1	    78352.47	Ej Spelad	1.00	 1
 1- 5	 1- 0	 0- 2	   198179.78	Ej Spelad	1.00	 1
 1- 5	 1- 0	 1- 0	    63359.80	Ej Spelad	1.00	 1
 1- 5	 1- 0	 1- 1	    70131.10	Ej Spelad	1.00	 1
 1- 5	 1- 0	 1- 2	   248222.58	Ej Spelad	1.00	 1
 1- 5	 1- 0	 2- 0	   257402.61	Ej Spelad	1.00	 1
 1- 5	 1- 0	 2- 1	   211014.30	Ej Spelad	1.00	 1
 1- 5	 1- 1	 0- 0	    78417.20	Ej Spelad	1.00	 1
 1- 5	 1- 1	 0- 1	    99192.50	Ej Spelad	1.00	 1
 1- 5	 1- 1	 0- 2	   148754.03	Ej Spelad	1.00	 1
 1- 5	 1- 1	 1- 0	    70083.14	Ej Spelad	1.00	 1
 1- 5	 1- 1	 1- 1	   124079.60	Ej Spelad	1.00	 1
 1- 5	 1- 1	 1- 2	   371934.50	Ej Spelad	1.00	 1
 1- 5	 1- 1	 2- 0	   210019.17	Ej Spelad	1.00	 1
 1- 5	 1- 1	 2- 1	   297788.91	Ej Spelad	1.00	 1
 1- 5	 1- 2	 0- 0	   198373.00	Ej Spelad	1.00	 1
 1- 5	 1- 2	 0- 1	   148758.97	Ej Spelad	1.00	 1
 1- 5	 1- 2	 1- 0	   248496.92	Ej Spelad	1.00	 1
 1- 5	 1- 2	 1- 1	   372213.84	Ej Spelad	1.00	 1
 1- 5	 2- 0	 0- 0	   126525.12	Ej Spelad	1.00	 1
 1- 5	 2- 0	 0- 1	   139930.86	Ej Spelad	1.00	 1
 1- 5	 2- 0	 1- 0	   257323.20	Ej Spelad	1.00	 1
 1- 5	 2- 0	 1- 1	   210280.78	Ej Spelad	1.00	 1
 1- 5	 2- 1	 0- 0	   140242.11	Ej Spelad	1.00	 1
 1- 5	 2- 1	 0- 1	   247875.55	Ej Spelad	1.00	 1
 1- 5	 2- 1	 1- 0	   210701.03	Ej Spelad	1.00	 1
 1- 5	 2- 1	 1- 1	   297933.81	Ej Spelad	1.00	 1
 2- 0	 0- 0	 0- 0	      819.66	 8.996	81.34	81
 2- 0	 0- 0	 0- 1	      769.45	 8.712	87.34	87
 2- 0	 0- 0	 0- 2	     1160.76	 7.059	60.66	61
 2- 0	 0- 0	 0- 3	     7241.42	 2.546	9.69	10
 2- 0	 0- 0	 0- 4	    26066.43	 2.829	2.77	 3
 2- 0	 0- 0	 1- 0	      461.43	14.528	125.82	126
 2- 0	 0- 0	 1- 1	      869.40	 6.524	82.20	82
 2- 0	 0- 0	 1- 2	     2116.67	 3.871	35.42	35
 2- 0	 0- 0	 1- 3	     2610.93	 9.414	25.24	25
 2- 0	 0- 0	 1- 4	    37406.24	 1.971	1.64	 2
 2- 0	 0- 0	 2- 0	     1213.68	 6.751	58.52	59
 2- 0	 0- 0	 2- 1	     1388.08	 5.312	53.09	53
 2- 0	 0- 0	 2- 2	     3721.27	 2.477	18.68	19
 2- 0	 0- 0	 2- 3	    15121.94	 1.625	3.36	 3
 2- 0	 0- 0	 2- 4	    23501.58	 3.138	3.14	 3
 2- 0	 0- 0	 3- 0	     5256.76	 7.014	13.41	13
 2- 0	 0- 0	 3- 1	     5608.19	 4.383	13.35	13
 2- 0	 0- 0	 3- 2	    10589.10	 6.964	6.67	 7
 2- 0	 0- 0	 3- 3	    37596.50	 1.961	1.63	 2
 2- 0	 0- 0	 4- 0	    33642.71	 2.192	1.95	 2
 2- 0	 0- 0	 4- 1	    30602.77	 2.410	2.25	 2
 2- 0	 0- 1	 0- 0	      768.58	 7.380	90.79	91
 2- 0	 0- 1	 0- 1	      580.45	 7.473	119.90	120
 2- 0	 0- 1	 0- 2	     2415.98	 2.348	28.15	28
 2- 0	 0- 1	 0- 3	     6509.93	 2.265	10.28	10
 2- 0	 0- 1	 0- 4	    25224.85	 2.923	2.89	 3
 2- 0	 0- 1	 1- 0	      869.35	 6.059	83.24	83
 2- 0	 0- 1	 1- 1	     1057.85	 3.873	70.88	71
 2- 0	 0- 1	 1- 2	      870.89	 6.048	83.12	83
 2- 0	 0- 1	 1- 3	     9348.68	 1.578	5.21	 5
 2- 0	 0- 1	 2- 0	     1387.96	 4.830	53.60	54
 2- 0	 0- 1	 2- 1	     1861.10	 2.641	38.16	38
 2- 0	 0- 1	 2- 2	     5038.11	 1.626	10.08	10
 2- 0	 0- 1	 2- 3	     5874.41	 2.511	11.89	12
 2- 0	 0- 1	 3- 0	     5610.55	 4.381	13.34	13
 2- 0	 0- 1	 3- 1	     5291.42	 4.645	14.10	14
 2- 0	 0- 1	 4- 0	    30597.48	 2.410	2.25	 2
 2- 0	 0- 1	 4- 1	    31533.02	 2.339	2.15	 2
 2- 0	 0- 1	 4- 2	    40374.13	 1.826	1.43	 1
 2- 0	 0- 2	 0- 0	     1161.45	 7.936	59.14	59
 2- 0	 0- 2	 0- 1	     2414.58	 2.545	29.06	29
 2- 0	 0- 2	 0- 2	     4341.08	 1.544	10.86	11
 2- 0	 0- 2	 0- 3	    12602.42	 1.950	4.84	 5
 2- 0	 0- 2	 1- 0	     2116.55	 4.355	35.37	35
 2- 0	 0- 2	 1- 1	      870.81	 7.698	79.41	79
 2- 0	 0- 2	 1- 3	    12686.41	 2.906	5.73	 6
 2- 0	 0- 2	 2- 0	     3720.79	 3.303	19.95	20
 2- 0	 0- 2	 2- 2	     3916.50	 2.690	18.23	18
 2- 0	 0- 2	 3- 0	    10577.82	 6.971	6.67	 7
 2- 0	 0- 2	 3- 1	    12513.88	 5.893	5.81	 6
 2- 0	 0- 2	 3- 2	    41325.66	 1.784	1.37	 1
 2- 0	 0- 2	 4- 1	    40369.54	 1.827	1.43	 1
 2- 0	 0- 3	 0- 0	     7253.93	10.167	8.90	 9
 2- 0	 0- 3	 0- 1	     6510.05	 5.664	11.23	11
 2- 0	 0- 3	 0- 2	    12585.62	 5.860	5.78	 6
 2- 0	 0- 3	 0- 3	    47104.42	 1.566	1.02	 1
 2- 0	 0- 3	 1- 0	     2611.30	28.242	17.55	18
 2- 0	 0- 3	 1- 1	     9356.12	 3.941	8.02	 8
 2- 0	 0- 3	 1- 2	    12690.80	 5.811	5.74	 6
 2- 0	 0- 3	 1- 3	    42119.04	 1.751	1.31	 1
 2- 0	 0- 3	 2- 0	    15135.52	 4.872	4.91	 5
 2- 0	 0- 3	 2- 1	     5881.20	 6.270	12.24	12
 2- 0	 0- 3	 3- 0	    37538.13	 1.965	1.63	 2
 2- 0	 0- 4	 0- 0	    26005.75	 2.836	2.78	 3
